,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
60,Artur Boruc\Artur-Boruc,pl POL,GK,Bournemouth,38,1980,12,1080,90,31.6,12,12,90,0,,26,1.25,20,18,2,0.17,0.78,16.8,19,-2.2,-0.18,-0.17,Matches
61,Robbie Brady\Robbie-Brady,ie IRL,MFFW,Burnley,26,1992,16,720,45,21.1,8,6,85,10,21,5,0.69,8,16,-8,-1,-0.5,11.3,13.7,-2.4,-0.31,0.32,Matches
62,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,35,1983,0,,,,,0,,0,,2,,,,,,,,,,,,Matches
63,Miguel Britos\Miguel-Britos,uy URU,DF,Watford,33,1985,3,185,62,5.4,2.1,2,86,1,13,9,0.33,2,5,-3,-1.46,-1.35,1.8,4.2,-2.4,-1.17,-1.06,Matches
64,David Brooks\David-Brooks,wal WAL,MFFW,Bournemouth,21,1997,30,2261,75,66.1,25.1,29,77,1,18,3,1.37,40,41,-1,-0.04,0.97,36,33.8,2.2,0.09,0.45,Matches
65,Tyias Browning\Tyias-Browning,eng ENG,DF,Everton,24,1994,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
66,Bruno\Bruno,es ESP,DF,Brighton,37,1980,14,1131,81,33.1,12.6,14,81,0,,9,1.14,10,17,-7,-0.56,0.15,9.7,17.8,-8.1,-0.65,-0.1,Matches
67,Joe Bryan\Joe-Bryan,eng ENG,DF,Fulham,24,1993,28,2345,84,68.6,26.1,27,86,1,13,4,0.75,22,54,-32,-1.23,0.03,28.3,42,-13.7,-0.53,0.46,Matches
68,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,26,1992,0,,,,,0,,0,,14,,,,,,,,,,,,Matches
69,Matt Butcher\Matt-Butcher,eng ENG,MF,Bournemouth,21,1997,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
70,David Button\David-Button,eng ENG,GK,Brighton,29,1989,4,360,90,10.5,4,4,90,0,,25,1,4,5,-1,-0.25,0.46,2.7,6.2,-3.5,-0.89,-0.34,Matches
71,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,36,1981,2,180,90,5.3,2,2,90,0,,36,2,2,0,2,1,0.39,2.2,0.9,1.3,0.66,0.05,Matches
72,Gary Cahill\Gary-Cahill,eng ENG,DF,Chelsea,32,1985,2,24,12,0.7,0.3,0,,2,11,8,2,0,0,0,0,-0.64,0.5,0.3,0.1,0.43,-0.18,Matches
73,Tom Cairney\Tom-Cairney,sco SCO,MFFW,Fulham,27,1991,31,2194,71,64.2,24.4,24,82,7,32,1,0.68,22,51,-29,-1.19,0.13,25.2,38.1,-13,-0.53,0.39,Matches
74,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,21,1997,35,1784,51,52.2,19.8,19,85,16,11,2,1.4,29,26,3,0.15,-0.12,25.5,21.9,3.6,0.18,0.29,Matches
75,Rafael Camacho\Rafael-Camacho,pt POR,DF,Liverpool,18,2000,1,1,1,0,0,0,,1,0,7,3,0,1,-1,-90,-91.79,0,0.2,-0.2,-16.29,-17.44,Matches
76,Víctor Camarasa\Victor-Camarasa,es ESP,MF,Cardiff City,24,1994,32,2569,80,75.1,28.5,31,83,1,7,1,0.88,25,53,-28,-0.98,-0.24,26,45.9,-19.9,-0.7,-0.47,Matches
77,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,30,1988,33,2944,89,86.1,32.7,33,89,0,,0,1.36,44,48,-4,-0.12,0.44,39.8,45.6,-5.8,-0.18,-0.05,Matches
78,Andy Carroll\Andy-Carroll,eng ENG,FW,West Ham,29,1989,12,461,38,13.5,5.1,3,69,9,28,4,1.42,4,7,-3,-0.59,-0.59,6.9,8.3,-1.3,-0.26,0.06,Matches
79,Lewis Cass\Lewis-Cass,eng ENG,DF,Newcastle Utd,18,2000,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
80,Jonny Castro\Jonny-Castro,es ESP,DFMF,Wolves,24,1994,33,2771,84,81,30.8,32,86,1,14,1,1.45,37,39,-2,-0.06,-0.48,38.1,32.5,5.6,0.18,-0.63,Matches
81,Craig Cathcart\Craig-Cathcart,nir NIR,DF,Watford,29,1989,36,3096,86,90.5,34.4,35,88,1,8,1,1.36,49,54,-5,-0.15,0.41,44.2,48.9,-4.7,-0.14,0.34,Matches
82,Ivan Cavaleiro\Ivan-Cavaleiro,pt POR,FWMF,Wolves,24,1993,23,693,30,20.3,7.7,6,68,17,17,9,1.48,10,11,-1,-0.13,-0.2,10.4,8.2,2.2,0.29,-0.02,Matches
83,Petr ?ech\Petr-Cech,cz CZE,GK,Arsenal,36,1982,7,584,83,17.1,6.5,7,83,0,,29,2.14,12,9,3,0.46,-0.14,7.8,8.6,-0.8,-0.13,-0.24,Matches
84,Nathaniel Chalobah\Nathaniel-Chalobah,eng ENG,MFFW,Watford,23,1994,9,270,30,7.9,3,3,75,6,8,11,1.22,1,7,-6,-2,-1.97,3.3,4.8,-1.5,-0.49,-0.35,Matches
85,Calum Chambers\Calum-Chambers,eng ENG,MFDF,Fulham,23,1995,31,2588,83,75.7,28.8,29,89,2,11,2,0.84,26,52,-26,-0.9,1.37,31.3,44.2,-13,-0.45,0.91,Matches
86,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Leicester City,21,1996,36,3240,90,94.7,36,36,90,0,,0,1.44,50,43,7,0.19,2.19,47.1,40.8,6.2,0.17,-0.07,Matches
87,Tahith Chong\Tahith-Chong,nl NED,FW,Manchester Utd,18,1999,2,38,19,1.1,0.4,0,,2,18,1,2,0,1,-1,-2.37,-2.69,0.8,0.5,0.3,0.77,0.47,Matches
88,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,20,1997,9,595,66,17.4,6.6,7,82,2,9,4,1.89,5,4,1,0.15,0.09,6.1,8.4,-2.3,-0.35,-0.64,Matches
89,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,22,1996,8,617,77,18,6.9,6,90,2,38,22,1.75,16,7,9,1.31,0.83,12.1,6.2,5.9,0.86,0.3,Matches
90,Cyrus Christie\Cyrus-Christie,ie IRL,DF,Fulham,25,1992,28,1948,70,57,21.6,19,85,9,36,10,0.75,17,42,-25,-1.16,0.19,21.2,35.4,-14.2,-0.66,0.03,Matches
91,Ibrahima Cissé\Ibrahima-Cisse,gn GUI,MFFW,Fulham,24,1994,3,88,29,2.6,1,1,62,2,13,8,0,0,4,-4,-4.09,-2.93,0.5,2.9,-2.4,-2.49,-1.86,Matches
92,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,28,1989,11,858,78,25.1,9.5,9,89,2,29,9,0.91,9,15,-6,-0.63,-0.63,7.8,14.6,-6.8,-0.72,-0.48,Matches
93,Tom Cleverley\Tom-Cleverley,eng ENG,MFFW,Watford,28,1989,13,478,37,14,5.3,4,86,9,15,2,1.62,6,7,-1,-0.19,0,5.4,11.3,-5.9,-1.11,-1.1,Matches
95,Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Bournemouth,27,1991,14,1143,82,33.4,12.7,13,84,1,46,1,1.07,18,25,-7,-0.55,-0.27,15.9,20.3,-4.3,-0.34,-0.41,Matches
96,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,25,1993,38,3420,90,100,38,38,90,0,,0,1.5,47,46,1,0.03,,49.9,38.5,11.4,0.3,,Matches
97,Joel Coleman\Joel-Coleman,eng ENG,GK,Huddersfield,22,1995,1,90,90,2.6,1,1,90,0,,7,1,1,1,0,0,1.46,1.1,0.5,0.6,0.61,1.56,Matches
98,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,29,1988,29,2558,88,74.8,28.4,29,88,0,,3,1.62,43,30,13,0.46,0.98,35.2,32.3,2.9,0.1,0.24,Matches
99,Matthew Connolly\Matthew-Connolly,eng ENG,DF,Cardiff City,30,1987,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
100,Lewis Cook\Lewis-Cook,eng ENG,MF,Bournemouth,21,1997,13,723,56,21.1,8,8,85,5,9,2,1.54,15,10,5,0.62,1.26,12.4,11.7,0.7,0.09,0.2,Matches
101,Steve Cook\Steve-Cook,eng ENG,DF,Bournemouth,27,1991,31,2786,90,81.5,31,31,90,0,,0,1.29,48,56,-8,-0.26,0.59,43.8,45.1,-1.3,-0.04,0.13,Matches
102,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,29,1989,37,3312,90,96.8,36.8,37,90,0,,0,1.08,43,63,-20,-0.54,1.96,41.2,59.6,-18.4,-0.5,1.81,Matches
103,Hélder Costa\Helder-Costa,pt POR,FWMF,Wolves,24,1994,25,1341,54,39.2,14.9,16,72,9,21,13,1.32,16,19,-3,-0.2,-0.37,18.8,13.6,5.1,0.34,0.07,Matches
104,Conor Coventry\Conor-Coventry,ie IRL,MF,West Ham,18,2000,0,,,,,0,,0,,4,,,,,,,,,,,,Matches
