,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
566,DeAndre Yedlin\DeAndre-Yedlin,us USA,DF,Newcastle Utd,25,1993,29,2473,85,72.3,27.5,28,88,1,6,5,0.97,28,40,-12,-0.44,-1.01,28.6,41.8,-13.2,-0.48,-0.44,Matches
567,Maya Yoshida\Maya-Yoshida,jp JPN,DF,Southampton,29,1988,17,1518,89,44.4,16.9,17,89,0,,12,1.29,26,29,-3,-0.18,0.63,21,22,-1,-0.06,0.34,Matches
568,Ashley Young\Ashley-Young,eng ENG,DF,Manchester Utd,33,1985,30,2569,86,75.1,28.5,28,89,2,41,6,1.63,50,43,7,0.25,-0.18,43,38.1,4.9,0.17,-0.53,Matches
569,Pablo Zabaleta\Pablo-Zabaleta,ar ARG,DF,West Ham,33,1985,26,2092,80,61.2,23.2,23,87,3,32,7,1.38,35,35,0,0,0.2,31.4,34.1,-2.7,-0.12,0.51,Matches
570,Wilfried Zaha\Wilfried-Zaha,ci CIV,FW,Crystal Palace,25,1992,34,3036,89,88.8,33.7,34,89,0,,0,1.26,48,49,-1,-0.03,0.2,44.5,42.2,2.3,0.07,0.22,Matches
571,Andre-Frank Zambo Anguissa\Andre-Frank-Zambo-Anguissa,cm CMR,MF,Fulham,22,1995,22,1517,69,44.4,16.9,16,85,6,26,4,0.64,13,32,-19,-1.13,0.2,17.8,29.4,-11.6,-0.69,-0.03,Matches
572,Davide Zappacosta\Davide-Zappacosta,it ITA,DF,Chelsea,26,1992,4,128,32,3.7,1.4,1,93,3,12,19,2.5,1,0,1,0.7,0.07,1.9,0.9,1.1,0.75,0.14,Matches
573,Oleksandr Zinchenko\Oleksandr-Zinchenko,ua UKR,DF,Manchester City,21,1996,14,1151,82,33.7,12.8,14,82,0,,7,3,29,4,25,1.95,0.09,28.1,6.7,21.4,1.67,0.28,Matches
574,Kenneth Zohore\Kenneth-Zohore,dk DEN,FW,Cardiff City,24,1994,19,753,40,22,8.4,7,79,12,17,6,0.74,8,19,-11,-1.31,-0.5,9.3,16.5,-7.2,-0.86,-0.36,Matches
575,Kurt Zouma\Kurt-Zouma,fr FRA,DF,Everton,23,1994,32,2612,82,76.4,29,29,90,3,0,2,1.31,40,39,1,0.03,-0.75,36.3,33.7,2.6,0.09,0.2,Matches
