,,Performance,Performance,Performance,Performance,Performance,Performance
Player,Squad,CrdY,CrdR,Fls,Off,OG,Recov
Jason Puncheon\Jason-Puncheon,Huddersfield,1,0,9,1,0,52
Collin Quaner\Collin-Quaner,Huddersfield,0,0,2,1,0,2
Domingos Quina\Domingos-Quina,Watford,0,0,7,0,0,46
Joe Ralls\Joe-Ralls,Cardiff City,4,1,29,1,0,265
Aaron Ramsey\Aaron-Ramsey,Arsenal,0,0,21,5,0,112
Kayne Ramsey\Kayne-Ramsey,Southampton,0,0,0,0,0,5
Marcus Rashford\Marcus-Rashford,Manchester Utd,3,1,26,15,0,114
Tim Ream\Tim-Ream,Fulham,1,0,11,0,0,243
Nathan Redmond\Nathan-Redmond,Southampton,3,0,29,15,0,246
Bobby Reid\Bobby-Reid,Cardiff City,0,0,6,11,0,85
Declan Rice\Declan-Rice,West Ham,4,0,17,1,0,449
Jazz Richards\Jazz-Richards,Cardiff City,0,0,0,0,0,11
Richarlison\Richarlison,Everton,5,1,33,17,0,226
Diego Rico\Diego-Rico,Bournemouth,1,0,10,0,0,80
Sergio Rico\Sergio-Rico,Fulham,1,0,1,0,0,130
Matt Ritchie\Matt-Ritchie,Newcastle Utd,9,0,55,1,0,298
Andrew Robertson\Andrew-Robertson,Liverpool,4,0,20,1,0,362
Marcos Rojo\Marcos-Rojo,Manchester Utd,2,0,3,0,1,19
Oriol Romeu\Oriol-Romeu,Southampton,11,0,46,0,0,338
Salomón Rondón\Salomon-Rondon,Newcastle Utd,1,0,22,20,0,152
Danny Rose\Danny-Rose,Tottenham,5,0,26,1,0,201
Aaron Rowe\Aaron-Rowe,Huddersfield,0,0,2,0,0,2
John Ruddy\John-Ruddy,Wolves,0,0,0,0,0,1
Antonio Rüdiger\Antonio-Rudiger,Chelsea,7,0,29,1,0,403
Mathew Ryan\Mathew-Ryan,Brighton,2,0,1,0,0,147
Abdelhamid Sabiri\Abdelhamid-Sabiri,Huddersfield,0,0,0,0,0,2
Romain Saïss\Romain-Saiss,Wolves,7,0,27,0,0,156
Bukayo Saka\Bukayo-Saka,Arsenal,0,0,0,0,0,0
Mamadou Sakho\Mamadou-Sakho,Crystal Palace,2,0,6,0,0,293
Bakary Sako\Bakary-Sako,Crystal Palace,0,0,1,1,0,5
Mohamed Salah\Mohamed-Salah,Liverpool,1,0,25,28,0,201
Alexis Sánchez\Alexis-Sanchez,Manchester Utd,3,0,15,8,0,61
Carlos Sánchez\Carlos-Sanchez,West Ham,0,0,3,0,0,34
Davinson Sánchez\Davinson-Sanchez,Tottenham,2,0,20,0,0,256
Leroy Sané\Leroy-Sane,Manchester City,1,0,10,19,0,122
Fabian Schär\Fabian-Schar,Newcastle Utd,12,0,28,1,0,238
Christopher Schindler\Christopher-Schindler,Huddersfield,5,1,26,0,0,414
Jeffrey Schlupp\Jeffrey-Schlupp,Crystal Palace,1,0,25,0,0,148
Kasper Schmeichel\Kasper-Schmeichel,Leicester City,3,0,0,0,0,164
Morgan Schneiderlin\Morgan-Schneiderlin,Everton,2,0,21,0,0,108
André Schürrle\Andre-Schurrle,Fulham,2,0,17,11,0,126
Ken Sema\Ken-Sema,Watford,1,0,13,1,0,60
Jean Seri\Jean-Seri,Fulham,6,0,33,1,0,254
Ryan Sessegnon\Ryan-Sessegnon,Fulham,0,0,20,16,0,193
Xherdan Shaqiri\Xherdan-Shaqiri,Liverpool,2,0,9,2,0,102
Luke Shaw\Luke-Shaw,Manchester Utd,11,0,42,1,0,342
Jonjo Shelvey\Jonjo-Shelvey,Newcastle Utd,1,0,16,0,0,146
Gylfi Sigurðsson\Gylfi-Sigurdsson,Everton,3,0,33,3,0,258
Adrien Silva\Adrien-Silva,Leicester City,0,0,1,0,0,11
Bernardo Silva\Bernardo-Silva,Manchester City,3,0,31,2,0,254
David Silva\David-Silva,Manchester City,2,0,26,6,0,215
Xande Silva\Xande-Silva,West Ham,0,0,0,0,0,1
Danny Simpson\Danny-Simpson,Leicester City,0,0,2,0,0,35
Jack Simpson\Jack-Simpson,Bournemouth,0,0,3,0,1,46
Josh Sims\Josh-Sims,Southampton,0,0,1,1,0,23
Moussa Sissoko\Moussa-Sissoko,Tottenham,2,0,25,3,0,259
Oliver Skipp\Oliver-Skipp,Tottenham,0,0,4,0,0,30
Callum Slattery\Callum-Slattery,Southampton,0,0,4,0,0,10
Chris Smalling\Chris-Smalling,Manchester Utd,1,0,22,2,1,230
Adam Smith\Adam-Smith,Bournemouth,5,1,18,0,0,191
Tommy Smith\Tommy-Smith,Huddersfield,2,1,11,0,0,106
Robert Snodgrass\Robert-Snodgrass,West Ham,10,0,36,3,0,185
Cédric Soares\Cedric-Soares,Southampton,4,0,9,1,0,175
Ramadan Sobhi\Ramadan-Sobhi,Huddersfield,0,0,0,0,0,9
Dominic Solanke\Dominic-Solanke,Bournemouth,0,0,2,1,0,28
Pape Souaré\Pape-Souare,Crystal Palace,0,0,0,0,0,1
Ça?lar Söyüncü\Caglar-Soyuncu,Leicester City,1,0,9,0,0,37
Julián Speroni\Julian-Speroni,Crystal Palace,0,0,0,0,0,7
Junior Stanislas\Junior-Stanislas,Bournemouth,1,0,6,3,0,85
Dale Stephens\Dale-Stephens,Brighton,6,1,44,0,0,337
Jack Stephens\Jack-Stephens,Southampton,4,0,13,0,0,219
Raheem Sterling\Raheem-Sterling,Manchester City,3,0,41,13,0,161
John Stones\John-Stones,Manchester City,1,0,6,1,0,188
Daniel Sturridge\Daniel-Sturridge,Liverpool,1,0,5,4,0,35
Denis Suárez\Denis-Suarez,Arsenal,0,0,0,1,0,6
Isaac Success\Isaac-Success,Watford,4,0,24,12,0,57
Ki Sung-yueng\Ki-Sung-yueng,Newcastle Utd,2,0,12,0,0,161
Andrew Surman\Andrew-Surman,Bournemouth,2,0,8,0,0,181
Sam Surridge\Sam-Surridge,Bournemouth,0,0,0,0,0,1
Alexander Sørloth\Alexander-Sorloth,Crystal Palace,0,0,4,0,0,16
Matt Targett\Matt-Targett,Southampton,2,0,8,1,0,107
James Tarkowski\James-Tarkowski,Burnley,8,0,35,4,0,405
Charlie Taylor\Charlie-Taylor,Burnley,2,0,15,1,0,331
Youri Tielemans\Youri-Tielemans,Leicester City,2,0,11,0,0,114
James Tomkins\James-Tomkins,Crystal Palace,5,0,16,2,0,253
Lucas Torreira\Lucas-Torreira,Arsenal,7,1,37,0,0,349
Cenk Tosun\Cenk-Tosun,Everton,3,0,17,10,0,56
Andros Townsend\Andros-Townsend,Crystal Palace,1,0,10,9,0,264
Adama Traoré\Adama-Traore,Wolves,1,0,15,7,0,66
Mark Travers\Mark-Travers,Bournemouth,0,0,0,0,0,13
Kieran Trippier\Kieran-Trippier,Tottenham,2,0,20,6,1,273
Antonio Valencia\Antonio-Valencia,Manchester Utd,2,0,7,0,0,35
Yan Valery\Yan-Valery,Southampton,4,1,28,2,0,160
Jamie Vardy\Jamie-Vardy,Leicester City,3,1,20,37,0,86
Jan Vertonghen\Jan-Vertonghen,Tottenham,4,1,11,1,0,265
Jannik Vestergaard\Jannik-Vestergaard,Southampton,2,0,16,1,0,277
Luciano Vietto\Luciano-Vietto,Fulham,1,0,13,0,0,84
Rúben Vinagre\Ruben-Vinagre,Wolves,1,0,13,1,0,73
Sam Vokes\Sam-Vokes,Burnley,0,0,14,8,0,19
Michel Vorm\Michel-Vorm,Tottenham,0,0,0,0,0,9
Mat?j Vydra\Matej-Vydra,Burnley,1,0,7,2,0,21
Theo Walcott\Theo-Walcott,Everton,1,0,11,19,0,122
Kyle Walker\Kyle-Walker,Manchester City,3,0,15,4,0,348
Kyle Walker-Peters\Kyle-Walker-Peters,Tottenham,1,0,4,1,0,43
Aaron Wan-Bissaka\Aaron-Wan-Bissaka,Crystal Palace,4,1,23,3,0,313
Victor Wanyama\Victor-Wanyama,Tottenham,2,0,10,0,0,72
Danny Ward\Danny-Ward,Cardiff City,0,0,2,3,0,14
Joel Ward\Joel-Ward,Crystal Palace,1,0,8,1,0,64
Stephen Ward\Stephen-Ward,Burnley,1,0,2,0,0,31
James Ward-Prowse\James-Ward-Prowse,Southampton,4,0,23,3,1,190
Danny Welbeck\Danny-Welbeck,Arsenal,0,0,3,0,0,12
Ashley Westwood\Ashley-Westwood,Burnley,5,0,30,1,0,412
Connor Wickham\Connor-Wickham,Crystal Palace,0,0,3,0,0,4
Georginio Wijnaldum\Georginio-Wijnaldum,Liverpool,3,0,19,2,0,309
Danny Williams\Danny-Williams,Huddersfield,1,0,3,0,0,11
Willian\Willian,Chelsea,2,0,12,11,0,142
Joe Willock\Joe-Willock,Arsenal,0,0,0,0,0,1
Ben Wilmot\Ben-Wilmot,Watford,0,0,0,0,0,3
Jack Wilshere\Jack-Wilshere,West Ham,2,0,7,0,0,30
Callum Wilson\Callum-Wilson,Bournemouth,3,0,42,20,0,100
Harry Winks\Harry-Winks,Tottenham,4,0,17,2,0,203
Chris Wood\Chris-Wood,Burnley,2,0,28,53,0,106
Granit Xhaka\Granit-Xhaka,Arsenal,10,0,45,1,0,354
Andriy Yarmolenko\Andriy-Yarmolenko,West Ham,2,0,8,1,0,32
DeAndre Yedlin\DeAndre-Yedlin,Newcastle Utd,6,1,41,4,1,229
Maya Yoshida\Maya-Yoshida,Southampton,0,0,4,2,0,193
Ashley Young\Ashley-Young,Manchester Utd,9,1,38,4,0,272
Pablo Zabaleta\Pablo-Zabaleta,West Ham,4,0,18,2,0,223
Wilfried Zaha\Wilfried-Zaha,Crystal Palace,9,1,45,16,0,228
Andre-Frank Zambo Anguissa\Andre-Frank-Zambo-Anguissa,Fulham,2,1,24,2,0,222
Davide Zappacosta\Davide-Zappacosta,Chelsea,0,0,2,0,0,13
Oleksandr Zinchenko\Oleksandr-Zinchenko,Manchester City,1,0,15,1,0,153
Kenneth Zohore\Kenneth-Zohore,Cardiff City,1,0,14,4,0,22
Kurt Zouma\Kurt-Zouma,Everton,4,1,21,2,0,350
