,,Performance,Performance,Performance,Performance,Performance,Performance
Player,Squad,CrdY,CrdR,Fls,Off,OG,Recov
Nathaniel Clyne\Nathaniel-Clyne,Bournemouth,2,0,9,0,0,119
Conor Coady\Conor-Coady,Wolves,5,0,11,0,3,357
Joel Coleman\Joel-Coleman,Huddersfield,0,0,0,0,0,9
Séamus Coleman\Seamus-Coleman,Everton,1,0,22,3,1,317
Lewis Cook\Lewis-Cook,Bournemouth,2,0,12,0,0,97
Steve Cook\Steve-Cook,Bournemouth,3,0,18,1,1,343
Jack Cork\Jack-Cork,Burnley,6,0,32,4,0,423
Hélder Costa\Helder-Costa,Wolves,3,0,20,6,0,92
Aaron Cresswell\Aaron-Cresswell,West Ham,1,0,2,1,0,167
Peter Crouch\Peter-Crouch,Burnley,1,0,3,0,0,2
Greg Cunningham\Greg-Cunningham,Cardiff City,3,0,8,0,0,64
Diogo Dalot\Diogo-Dalot,Manchester Utd,3,0,12,2,0,105
Matty Daly\Matty-Daly,Huddersfield,0,0,0,0,0,2
Loïc Damour\Loic-Damour,Cardiff City,0,0,0,0,0,3
Charlie Daniels\Charlie-Daniels,Bournemouth,4,0,8,0,0,195
Danilo\Danilo,Manchester City,1,0,10,0,0,115
Scott Dann\Scott-Dann,Crystal Palace,1,0,4,0,0,62
Matteo Darmian\Matteo-Darmian,Manchester Utd,0,0,3,1,0,34
Ben Davies\Ben-Davies,Tottenham,2,0,18,0,0,211
Tom Davies\Tom-Davies,Everton,3,0,21,1,0,125
Steven Davis\Steven-Davis,Southampton,0,0,2,1,0,14
Kevin De Bruyne\Kevin-De-Bruyne,Manchester City,2,0,10,1,0,91
Troy Deeney\Troy-Deeney,Watford,4,1,42,13,0,149
Jermain Defoe\Jermain-Defoe,Bournemouth,0,0,0,0,0,0
Steven Defour\Steven-Defour,Burnley,0,0,1,0,0,56
Fabian Delph\Fabian-Delph,Manchester City,1,1,6,0,0,85
Mousa Dembélé\Mousa-Dembele,Tottenham,1,0,12,0,0,65
Leander Dendoncker\Leander-Dendoncker,Wolves,1,0,11,1,0,150
Laurent Depoitre\Laurent-Depoitre,Huddersfield,1,0,19,7,0,44
Gerard Deulofeu\Gerard-Deulofeu,Watford,3,0,14,34,0,140
Fousseni Diabaté\Fousseni-Diabate,Leicester City,0,0,0,1,0,3
Adama Diakhaby\Adama-Diakhaby,Huddersfield,1,0,7,2,0,33
Mohamed Diamé\Mohamed-Diame,Newcastle Utd,3,0,36,0,0,228
Grady Diangana\Grady-Diangana,West Ham,0,0,4,1,0,60
Eric Dier\Eric-Dier,Tottenham,4,0,24,0,0,172
Lucas Digne\Lucas-Digne,Everton,5,1,39,2,1,386
Virgil van Dijk\Virgil-van-Dijk,Liverpool,1,0,12,1,0,528
Issa Diop\Issa-Diop,West Ham,4,0,19,3,1,304
Matt Doherty\Matt-Doherty,Wolves,5,0,30,3,1,310
Abdoulaye Doucouré\Abdoulaye-Doucoure,Watford,7,0,37,2,1,465
Luke Dreher\Luke-Dreher,Crystal Palace,0,0,0,0,0,0
Martin Dúbravka\Martin-Dubravka,Newcastle Utd,1,0,1,0,0,195
Shane Duffy\Shane-Duffy,Brighton,4,1,23,4,0,355
Demeaco Duhaney\Demeaco-Duhaney,Huddersfield,0,0,0,0,0,6
Paul Dummett\Paul-Dummett,Newcastle Utd,1,0,11,1,0,222
Lewis Dunk\Lewis-Dunk,Brighton,6,1,22,0,0,376
Erik Durm\Erik-Durm,Huddersfield,0,0,13,1,0,223
Bruno Ecuele Manga\Bruno-Ecuele-Manga,Cardiff City,0,0,15,1,0,460
Ederson\Ederson,Manchester City,2,0,2,0,0,152
Harvey Elliot\Harvey-Elliot,Fulham,0,0,0,0,0,2
Mohamed Elneny\Mohamed-Elneny,Arsenal,0,0,1,1,0,38
Mohamed Elyounoussi\Mohamed-Elyounoussi,Southampton,0,0,10,2,0,67
Christian Eriksen\Christian-Eriksen,Tottenham,3,0,17,2,0,297
Neil Etheridge\Neil-Etheridge,Cardiff City,2,0,0,0,0,220
Jonny Evans\Jonny-Evans,Leicester City,2,0,21,0,0,236
?ukasz Fabia?ski\Lukasz-Fabianski,West Ham,0,0,0,0,0,201
Fabinho\Fabinho,Liverpool,6,0,30,0,0,278
Cesc Fàbregas\Cesc-Fabregas,Chelsea,1,0,1,0,0,13
Fabricio\Fabricio,Fulham,0,0,0,0,0,10
Marouane Fellaini\Marouane-Fellaini,Manchester Utd,1,0,15,2,0,80
Kiko Femenía\Kiko-Femenia,Watford,1,0,12,3,0,186
Federico Fernández\Federico-Fernandez,Newcastle Utd,2,0,12,1,0,161
Fernandinho\Fernandinho,Manchester City,5,0,40,2,0,321
Roberto Firmino\Roberto-Firmino,Liverpool,0,0,40,9,0,167
Phil Foden\Phil-Foden,Manchester City,0,0,4,0,0,31
Fraser Forster\Fraser-Forster,Southampton,0,0,0,0,0,2
Ben Foster\Ben-Foster,Watford,1,0,2,0,0,202
Timothy Fosu-Mensah\Timothy-Fosu-Mensah,Fulham,3,0,7,0,1,60
Juan Foyth\Juan-Foyth,Tottenham,3,1,16,0,0,101
Simon Francis\Simon-Francis,Bournemouth,1,0,10,3,0,143
Ryan Fraser\Ryan-Fraser,Bournemouth,2,0,6,10,0,215
Fred\Fred,Manchester Utd,2,0,25,1,0,141
Ryan Fredericks\Ryan-Fredericks,West Ham,5,0,9,1,0,99
Christian Fuchs\Christian-Fuchs,Leicester City,0,0,3,0,0,29
Manolo Gabbiadini\Manolo-Gabbiadini,Southampton,0,0,9,1,0,28
Sam Gallagher\Sam-Gallagher,Southampton,0,0,4,0,0,2
Idrissa Gana Gueye\Idrissa-Gana-Gueye,Everton,6,0,54,0,0,447
James Garner\James-Garner,Manchester Utd,0,0,0,0,0,1
Paulo Gazzaniga\Paulo-Gazzaniga,Tottenham,0,0,0,0,0,11
David de Gea\David-de-Gea,Manchester Utd,1,0,1,0,0,166
Rachid Ghezzal\Rachid-Ghezzal,Leicester City,3,0,13,0,0,74
Morgan Gibbs-White\Morgan-Gibbs-White,Wolves,1,0,8,2,0,61
Ben Gibson\Ben-Gibson,Burnley,1,0,2,0,0,10
Olivier Giroud\Olivier-Giroud,Chelsea,1,0,12,6,0,22
André Gomes\Andre-Gomes,Everton,7,0,49,0,0,266
Angel Gomes\Angel-Gomes,Manchester Utd,0,0,0,0,0,3
Joe Gomez\Joe-Gomez,Liverpool,2,0,12,0,0,141
Jon Gorenc Stankovi?\Jon-Gorenc-Stankovic,Huddersfield,2,0,9,0,0,76
Dan Gosling\Dan-Gosling,Bournemouth,8,0,29,2,0,226
Karlan Grant\Karlan-Grant,Huddersfield,0,0,8,4,0,52
