,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
475,Mat?j Vydra\Matej-Vydra,cz CZE,FWMF,Burnley,26,1992,3.5,1,6,3,50,1.7,0.85,0.17,0.33,0,0,0,1.4,1.4,0.24,-0.4,-0.4,Matches
476,Theo Walcott\Theo-Walcott,eng ENG,FWMF,Everton,29,1989,23.5,5,43,21,48.8,1.83,0.89,0.12,0.24,0,0,0,5.7,5.7,0.13,-0.7,-0.7,Matches
477,Kyle Walker\Kyle-Walker,eng ENG,DF,Manchester City,28,1990,30.9,1,20,3,15,0.65,0.1,0.05,0.33,1,0,0,0.7,0.7,0.04,0.3,0.3,Matches
478,Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,Tottenham,21,1997,4.2,0,2,0,0,0.48,0,0,,0,0,0,0.4,0.4,0.18,-0.4,-0.4,Matches
479,Aaron Wan-Bissaka\Aaron-Wan-Bissaka,eng ENG,DF,Crystal Palace,20,1997,34.8,0,9,0,0,0.26,0,0,,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
480,Victor Wanyama\Victor-Wanyama,ke KEN,MF,Tottenham,27,1991,5.7,1,7,2,28.6,1.22,0.35,0.14,0.5,0,0,0,1,1,0.14,0,0,Matches
481,Danny Ward\Danny-Ward,eng ENG,FW,Cardiff City,26,1991,4.9,1,12,7,58.3,2.43,1.42,0.08,0.14,0,0,0,0.6,0.6,0.05,0.4,0.4,Matches
482,Joel Ward\Joel-Ward,eng ENG,DF,Crystal Palace,28,1989,6.1,1,2,1,50,0.33,0.16,0.5,1,0,0,0,0.7,0.7,0.34,0.3,0.3,Matches
483,Stephen Ward\Stephen-Ward,ie IRL,DF,Burnley,32,1985,2.5,0,1,1,100,0.39,0.39,0,0,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches
484,James Ward-Prowse\James-Ward-Prowse,eng ENG,MFDF,Southampton,23,1994,21.6,7,30,14,46.7,1.39,0.65,0.2,0.43,7,1,1,3.7,2.9,0.1,3.3,3.1,Matches
485,Danny Welbeck\Danny-Welbeck,eng ENG,FWMF,Arsenal,27,1990,1.7,1,4,2,50,2.35,1.18,0.25,0.5,0,0,0,0.5,0.5,0.13,0.5,0.5,Matches
486,Ashley Westwood\Ashley-Westwood,eng ENG,MF,Burnley,28,1990,31.4,2,22,7,31.8,0.7,0.22,0.09,0.29,1,0,0,2.1,2.1,0.1,-0.1,-0.1,Matches
487,Connor Wickham\Connor-Wickham,eng ENG,FW,Crystal Palace,25,1993,0.7,0,5,1,20,6.72,1.34,0,0,0,0,0,0.5,0.5,0.1,-0.5,-0.5,Matches
488,Georginio Wijnaldum\Georginio-Wijnaldum,nl NED,MF,Liverpool,27,1990,30.3,3,30,8,26.7,0.99,0.26,0.1,0.38,0,0,0,2.4,2.4,0.08,0.6,0.6,Matches
489,Danny Williams\Danny-Williams,us USA,MF,Huddersfield,29,1989,1.1,0,1,0,0,0.94,0,0,,0,0,0,0,0,0.02,0,0,Matches
490,Willian\Willian,br BRA,FW,Chelsea,29,1988,23.3,3,62,22,35.5,2.66,0.94,0.05,0.14,8,0,0,4.6,4.6,0.07,-1.6,-1.6,Matches
491,Joe Willock\Joe-Willock,eng ENG,MF,Arsenal,18,1999,0.7,0,2,0,0,2.81,0,0,,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
492,Ben Wilmot\Ben-Wilmot,eng ENG,MF,Watford,18,1999,0.3,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
493,Jack Wilshere\Jack-Wilshere,eng ENG,MF,West Ham,26,1992,4.4,0,2,1,50,0.46,0.23,0,0,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches
494,Callum Wilson\Callum-Wilson,eng ENG,FW,Bournemouth,26,1992,28.1,14,63,27,42.9,2.24,0.96,0.21,0.48,0,1,2,14.1,12.6,0.2,-0.1,0.4,Matches
