,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
47,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MFFW,Burnley,27,1990,19.5,3,34,11,32.4,1.75,0.57,0.09,0.27,7,0,0,2.9,2.9,0.09,0.1,0.1,Matches
48,Bernard\Bernard,br BRA,FWMF,Everton,25,1992,23.5,1,24,5,20.8,1.02,0.21,0.04,0.2,0,0,0,2.6,2.6,0.11,-1.6,-1.6,Matches
49,Bernardo\Bernardo,br BRA,DF,Brighton,23,1995,19.5,0,8,3,37.5,0.41,0.15,0,0,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
50,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,28,1989,24,1,15,2,13.3,0.62,0.08,0.07,0.5,3,0,0,0.9,0.9,0.06,0.1,0.1,Matches
51,Marcus Bettinelli\Marcus-Bettinelli,eng ENG,GK,Fulham,26,1992,7,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
52,Philip Billing\Philip-Billing,dk DEN,MF,Huddersfield,22,1996,24.3,2,43,9,20.9,1.77,0.37,0.05,0.22,3,0,0,1.8,1.8,0.04,0.2,0.2,Matches
53,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,21,1996,19.7,0,31,3,9.7,1.57,0.15,0,0,3,0,0,1.6,1.6,0.05,-1.6,-1.6,Matches
54,Willy Boly\Willy-Boly,fr FRA,DF,Wolves,27,1991,35.2,4,22,6,27.3,0.63,0.17,0.18,0.67,0,0,0,2.7,2.7,0.12,1.3,1.3,Matches
55,Léo Bonatini\Leo-Bonatini,br BRA,FW,Wolves,24,1994,1.5,0,9,1,11.1,6,0.67,0,0,0,0,0,1.5,1.5,0.17,-1.5,-1.5,Matches
56,Gaëtan Bong\Gaetan-Bong,cm CMR,DF,Brighton,30,1988,20.1,0,2,0,0,0.1,0,0,,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
57,Artur Boruc\Artur-Boruc,pl POL,GK,Bournemouth,38,1980,12,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
58,Robbie Brady\Robbie-Brady,ie IRL,MFFW,Burnley,26,1992,8,0,12,2,16.7,1.5,0.25,0,0,2,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches
59,Miguel Britos\Miguel-Britos,uy URU,DF,Watford,33,1985,2.1,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
60,David Brooks\David-Brooks,wal WAL,MFFW,Bournemouth,21,1997,25.1,7,41,21,51.2,1.63,0.84,0.17,0.33,0,0,0,5.7,5.7,0.14,1.3,1.3,Matches
61,Bruno\Bruno,es ESP,DF,Brighton,37,1980,12.6,0,2,0,0,0.16,0,0,,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
62,Joe Bryan\Joe-Bryan,eng ENG,DF,Fulham,24,1993,26.1,0,21,7,33.3,0.81,0.27,0,0,0,0,0,0.7,0.7,0.03,-0.7,-0.7,Matches
63,David Button\David-Button,eng ENG,GK,Brighton,29,1989,4,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
64,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,36,1981,2,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
65,Gary Cahill\Gary-Cahill,eng ENG,DF,Chelsea,32,1985,0.3,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
66,Tom Cairney\Tom-Cairney,sco SCO,MFFW,Fulham,27,1991,24.4,1,24,5,20.8,0.98,0.21,0.04,0.2,0,0,0,1.1,1.1,0.05,-0.1,-0.1,Matches
67,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,21,1997,19.8,6,55,17,30.9,2.77,0.86,0.11,0.35,0,0,0,5.2,5.1,0.09,0.8,0.9,Matches
68,Rafael Camacho\Rafael-Camacho,pt POR,DF,Liverpool,18,2000,0,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
69,Víctor Camarasa\Victor-Camarasa,es ESP,MF,Cardiff City,24,1994,28.5,5,39,10,25.6,1.37,0.35,0.13,0.5,5,0,0,2.7,2.7,0.07,2.3,1.3,Matches
70,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,30,1988,32.7,1,17,3,17.6,0.52,0.09,0.06,0.33,5,0,0,1,1,0.06,0,0,Matches
71,Andy Carroll\Andy-Carroll,eng ENG,FW,West Ham,29,1989,5.1,0,14,6,42.9,2.73,1.17,0,0,0,0,0,1.9,1.9,0.13,-1.9,-1.9,Matches
72,Jonny Castro\Jonny-Castro,es ESP,DFMF,Wolves,24,1994,30.8,1,26,7,26.9,0.84,0.23,0.04,0.14,0,0,0,2,2,0.08,-1,-1,Matches
73,Craig Cathcart\Craig-Cathcart,nir NIR,DF,Watford,29,1989,34.4,3,16,6,37.5,0.47,0.17,0.19,0.5,0,0,0,1.8,1.8,0.12,1.2,1.2,Matches
74,Ivan Cavaleiro\Ivan-Cavaleiro,pt POR,FWMF,Wolves,24,1993,7.7,3,12,4,33.3,1.56,0.52,0.25,0.75,0,0,0,2.2,2.2,0.18,0.8,0.8,Matches
75,Petr ?ech\Petr-Cech,cz CZE,GK,Arsenal,36,1982,6.5,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
76,Nathaniel Chalobah\Nathaniel-Chalobah,eng ENG,MFFW,Watford,23,1994,3,0,2,1,50,0.67,0.33,0,0,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
77,Calum Chambers\Calum-Chambers,eng ENG,MFDF,Fulham,23,1995,28.8,2,35,12,34.3,1.22,0.42,0.06,0.17,0,0,0,2.2,2.2,0.06,-0.2,-0.2,Matches
78,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Leicester City,21,1996,36,0,20,10,50,0.56,0.28,0,0,0,0,0,0.8,0.8,0.04,-0.8,-0.8,Matches
79,Tahith Chong\Tahith-Chong,nl NED,FW,Manchester Utd,18,1999,0.4,0,2,1,50,4.74,2.37,0,0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
80,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,20,1997,6.6,0,4,2,50,0.61,0.3,0,0,0,0,0,0.4,0.4,0.1,-0.4,-0.4,Matches
81,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,22,1996,6.9,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
82,Cyrus Christie\Cyrus-Christie,ie IRL,DF,Fulham,25,1992,21.6,0,11,4,36.4,0.51,0.18,0,0,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
83,Ibrahima Cissé\Ibrahima-Cisse,gn GUI,MFFW,Fulham,24,1994,1,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
84,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,28,1989,9.5,3,7,3,42.9,0.73,0.31,0.43,1,0,0,0,0.4,0.4,0.05,2.6,2.6,Matches
85,Tom Cleverley\Tom-Cleverley,eng ENG,MFFW,Watford,28,1989,5.3,1,3,1,33.3,0.56,0.19,0.33,1,1,0,0,0.2,0.2,0.07,0.8,0.8,Matches
87,Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Bournemouth,27,1991,12.7,0,2,0,0,0.16,0,0,,0,0,0,0.3,0.3,0.15,-0.3,-0.3,Matches
88,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,25,1993,38,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
89,Joel Coleman\Joel-Coleman,eng ENG,GK,Huddersfield,22,1995,1,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
90,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,29,1988,28.4,2,13,5,38.5,0.46,0.18,0.15,0.4,0,0,0,1.2,1.2,0.09,0.8,0.8,Matches
91,Lewis Cook\Lewis-Cook,eng ENG,MF,Bournemouth,21,1997,8,0,3,0,0,0.37,0,0,,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
92,Steve Cook\Steve-Cook,eng ENG,DF,Bournemouth,27,1991,31,1,22,8,36.4,0.71,0.26,0.05,0.13,0,0,0,1.1,1.1,0.05,-0.1,-0.1,Matches
93,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,29,1989,36.8,1,15,2,13.3,0.41,0.05,0.07,0.5,0,0,0,1.7,1.7,0.12,-0.7,-0.7,Matches
94,Hélder Costa\Helder-Costa,pt POR,FWMF,Wolves,24,1994,14.9,1,25,7,28,1.68,0.47,0.04,0.14,0,0,0,2.5,2.5,0.1,-1.5,-1.5,Matches
95,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,28,1989,17.7,0,11,0,0,0.62,0,0,,2,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
96,Peter Crouch\Peter-Crouch,eng ENG,FW,Burnley,37,1981,1,0,4,1,25,3.91,0.98,0,0,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
97,Greg Cunningham\Greg-Cunningham,ie IRL,DF,Cardiff City,27,1991,7,0,1,1,100,0.14,0.14,0,0,0,0,0,0,0,0.01,0,0,Matches
98,Diogo Dalot\Diogo-Dalot,pt POR,DFMF,Manchester Utd,19,1999,11.3,0,15,0,0,1.33,0,0,,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
99,Matty Daly\Matty-Daly,eng ENG,MF,Huddersfield,17,2001,0.8,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
100,Loïc Damour\Loic-Damour,fr FRA,MF,Cardiff City,27,1991,0.3,0,1,0,0,3.91,0,0,,0,0,0,0,0,0.02,0,0,Matches
101,Charlie Daniels\Charlie-Daniels,eng ENG,DF,Bournemouth,31,1986,17.6,1,13,3,23.1,0.74,0.17,0.08,0.33,0,0,0,0.5,0.5,0.04,0.5,0.5,Matches
102,Danilo\Danilo,br BRA,DF,Manchester City,27,1991,9,1,14,3,21.4,1.56,0.33,0.07,0.33,0,0,0,0.5,0.5,0.03,0.5,0.5,Matches
103,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,31,1987,7.4,0,6,1,16.7,0.81,0.14,0,0,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
104,Matteo Darmian\Matteo-Darmian,it ITA,DF,Manchester Utd,28,1989,4.9,0,1,1,100,0.2,0.2,0,0,0,0,0,0,0,0.03,0,0,Matches
105,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,25,1993,20.5,0,15,1,6.7,0.73,0.05,0,0,0,0,0,0.8,0.8,0.05,-0.8,-0.8,Matches
106,Tom Davies\Tom-Davies,eng ENG,MF,Everton,20,1998,10.9,0,7,2,28.6,0.64,0.18,0,0,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
107,Steven Davis\Steven-Davis,nir NIR,MF,Southampton,33,1985,1.1,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
108,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,27,1991,10.8,2,31,11,35.5,2.86,1.02,0.06,0.18,3,0,0,2.1,2.1,0.07,-0.1,-0.1,Matches
109,Troy Deeney\Troy-Deeney,eng ENG,FW,Watford,30,1988,28.3,9,61,28,45.9,2.16,0.99,0.13,0.29,0,1,1,9.3,8.5,0.14,-0.3,-0.5,Matches
110,Jermain Defoe\Jermain-Defoe,eng ENG,DFFW,Bournemouth,35,1982,0.3,0,1,1,100,3.6,3.6,0,0,0,0,0,0.4,0.4,0.44,-0.4,-0.4,Matches
111,Steven Defour\Steven-Defour,be BEL,MF,Burnley,30,1988,5,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
112,Fabian Delph\Fabian-Delph,eng ENG,DF,Manchester City,28,1989,8.1,0,4,3,75,0.5,0.37,0,0,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
113,Mousa Dembélé\Mousa-Dembele,be BEL,MF,Tottenham,31,1987,5.7,0,1,0,0,0.17,0,0,,0,0,0,0,0,0.05,0,0,Matches
114,Leander Dendoncker\Leander-Dendoncker,be BEL,MF,Wolves,23,1995,16.3,2,16,9,56.3,0.98,0.55,0.13,0.22,0,0,0,2.5,2.5,0.16,-0.5,-0.5,Matches
115,Laurent Depoitre\Laurent-Depoitre,be BEL,FW,Huddersfield,29,1988,11.9,0,34,7,20.6,2.87,0.59,0,0,0,0,0,3.5,3.5,0.11,-3.5,-3.5,Matches
116,Gerard Deulofeu\Gerard-Deulofeu,es ESP,FW,Watford,24,1994,23,10,62,23,37.1,2.7,1,0.16,0.43,6,0,0,8.3,8.3,0.13,1.7,1.7,Matches
117,Fousseni Diabaté\Fousseni-Diabate,ml MLI,FW,Leicester City,22,1995,0.6,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
118,Adama Diakhaby\Adama-Diakhaby,fr FRA,FWMF,Huddersfield,22,1996,6.1,0,7,3,42.9,1.14,0.49,0,0,0,0,0,0.8,0.8,0.12,-0.8,-0.8,Matches
119,Mohamed Diamé\Mohamed-Diame,sn SEN,MF,Newcastle Utd,31,1987,24.1,0,21,3,14.3,0.87,0.12,0,0,0,0,0,0.9,0.9,0.04,-0.9,-0.9,Matches
120,Grady Diangana\Grady-Diangana,eng ENG,FWMF,West Ham,20,1998,6.8,0,10,3,30,1.48,0.44,0,0,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
121,Eric Dier\Eric-Dier,eng ENG,MF,Tottenham,24,1994,16.7,3,9,3,33.3,0.54,0.18,0.33,1,0,0,0,1.6,1.6,0.18,1.4,1.4,Matches
122,Lucas Digne\Lucas-Digne,fr FRA,DF,Everton,25,1993,32.9,4,34,10,29.4,1.03,0.3,0.12,0.4,11,0,0,1.1,1.1,0.03,2.9,2.9,Matches
123,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,27,1991,37.6,4,32,8,25,0.85,0.21,0.13,0.5,1,0,0,3.2,3.2,0.1,0.8,0.8,Matches
124,Issa Diop\Issa-Diop,fr FRA,DF,West Ham,21,1997,33,1,14,4,28.6,0.42,0.12,0.07,0.25,0,0,0,1.1,1.1,0.08,-0.1,-0.1,Matches
125,Matt Doherty\Matt-Doherty,ie IRL,DFMF,Wolves,26,1992,34.9,4,43,17,39.5,1.23,0.49,0.09,0.24,0,0,0,5.6,5.6,0.13,-1.6,-1.6,Matches
126,Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Watford,25,1993,34,5,52,16,30.8,1.53,0.47,0.1,0.31,0,0,0,5.6,5.6,0.11,-0.6,-0.6,Matches
127,Luke Dreher\Luke-Dreher,eng ENG,MF,Crystal Palace,19,1998,0,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
128,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,29,1989,38,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
129,Shane Duffy\Shane-Duffy,ie IRL,DF,Brighton,26,1992,34.3,5,39,14,35.9,1.14,0.41,0.13,0.36,0,0,0,2.8,2.8,0.07,2.2,2.2,Matches
130,Demeaco Duhaney\Demeaco-Duhaney,eng ENG,DF,Huddersfield,19,1998,0.5,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
131,Paul Dummett\Paul-Dummett,wal WAL,DF,Newcastle Utd,26,1991,22.1,0,8,1,12.5,0.36,0.05,0,0,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
132,Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,26,1991,35,2,22,4,18.2,0.63,0.11,0.09,0.5,1,0,0,1.2,1.2,0.05,0.8,0.8,Matches
133,Erik Durm\Erik-Durm,de GER,DF,Huddersfield,26,1992,22.8,0,8,0,0,0.35,0,0,,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
134,Bruno Ecuele Manga\Bruno-Ecuele-Manga,ga GAB,DF,Cardiff City,30,1988,37.5,0,11,2,18.2,0.29,0.05,0,0,0,0,0,0.8,0.8,0.07,-0.8,-0.8,Matches
135,Ederson\Ederson,br BRA,GK,Manchester City,24,1993,38,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
136,Harvey Elliot\Harvey-Elliot,eng ENG,MF,Fulham,15,2003,0.2,0,1,1,100,4.5,4.5,0,0,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches
137,Mohamed Elneny\Mohamed-Elneny,eg EGY,MF,Arsenal,26,1992,4.2,0,7,0,0,1.66,0,0,,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches
138,Mohamed Elyounoussi\Mohamed-Elyounoussi,no NOR,MFFW,Southampton,23,1994,8.8,0,19,6,31.6,2.16,0.68,0,0,0,0,0,1.9,1.9,0.1,-1.9,-1.9,Matches
139,Christian Eriksen\Christian-Eriksen,dk DEN,MFFW,Tottenham,26,1992,30.8,8,84,31,36.9,2.73,1.01,0.1,0.26,12,0,0,5.5,5.5,0.07,2.5,2.5,Matches
140,Neil Etheridge\Neil-Etheridge,ph PHI,GK,Cardiff City,28,1990,38,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
141,Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,30,1988,22.2,1,10,4,40,0.45,0.18,0.1,0.25,0,0,0,0.9,0.9,0.09,0.1,0.1,Matches
142,?ukasz Fabia?ski\Lukasz-Fabianski,pl POL,GK,West Ham,33,1985,38,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
143,Fabinho\Fabinho,br BRA,MF,Liverpool,24,1993,22.4,1,17,4,23.5,0.76,0.18,0.06,0.25,0,0,0,1,1,0.06,0,0,Matches
144,Cesc Fàbregas\Cesc-Fabregas,es ESP,MF,Chelsea,31,1987,2,0,1,0,0,0.5,0,0,,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches
145,Fabricio\Fabricio,es ESP,GK,Fulham,30,1987,2,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
146,Marouane Fellaini\Marouane-Fellaini,be BEL,MF,Manchester Utd,30,1987,8.4,0,8,3,37.5,0.96,0.36,0,0,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
147,Kiko Femenía\Kiko-Femenia,es ESP,DF,Watford,27,1991,22.8,1,7,3,42.9,0.31,0.13,0.14,0.33,0,0,0,0.5,0.5,0.06,0.5,0.5,Matches
148,Federico Fernández\Federico-Fernandez,ar ARG,DF,Newcastle Utd,29,1989,16.5,0,4,1,25,0.24,0.06,0,0,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
149,Fernandinho\Fernandinho,br BRA,MF,Manchester City,33,1985,26.4,1,31,7,22.6,1.17,0.27,0.03,0.14,0,0,0,1.9,1.9,0.06,-0.9,-0.9,Matches
150,Roberto Firmino\Roberto-Firmino,br BRA,FWMF,Liverpool,26,1991,29,12,73,31,42.5,2.52,1.07,0.15,0.35,0,1,1,13.3,12.5,0.17,-1.3,-1.5,Matches
151,Phil Foden\Phil-Foden,eng ENG,MF,Manchester City,18,2000,3.7,1,14,6,42.9,3.76,1.61,0.07,0.17,0,0,0,2.5,2.5,0.18,-1.5,-1.5,Matches
152,Fraser Forster\Fraser-Forster,eng ENG,GK,Southampton,30,1988,1,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
153,Ben Foster\Ben-Foster,eng ENG,GK,Watford,35,1983,38,0,1,0,0,0.03,0,0,,0,0,0,0,0,0.01,0,0,Matches
154,Timothy Fosu-Mensah\Timothy-Fosu-Mensah,nl NED,DF,Fulham,20,1998,8.8,0,4,1,25,0.45,0.11,0,0,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
155,Juan Foyth\Juan-Foyth,ar ARG,DF,Tottenham,20,1998,9.9,1,5,1,20,0.51,0.1,0.2,1,0,0,0,0.7,0.7,0.15,0.3,0.3,Matches
156,Simon Francis\Simon-Francis,eng ENG,DF,Bournemouth,33,1985,13.7,0,3,1,33.3,0.22,0.07,0,0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
157,Ryan Fraser\Ryan-Fraser,sco SCO,MFFW,Bournemouth,24,1994,35.2,7,50,24,48,1.42,0.68,0.14,0.29,3,0,0,4.5,4.5,0.09,2.5,2.5,Matches
158,Fred\Fred,br BRA,MF,Manchester Utd,25,1993,11.6,1,17,2,11.8,1.47,0.17,0.06,0.5,1,0,0,0.8,0.8,0.05,0.2,0.2,Matches
159,Ryan Fredericks\Ryan-Fredericks,eng ENG,DF,West Ham,25,1992,12.1,1,5,2,40,0.41,0.17,0.2,0.5,0,0,0,0.5,0.5,0.09,0.5,0.5,Matches
160,Christian Fuchs\Christian-Fuchs,at AUT,DF,Leicester City,32,1986,2.3,0,2,0,0,0.87,0,0,,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
161,Manolo Gabbiadini\Manolo-Gabbiadini,it ITA,FWMF,Southampton,26,1991,5.3,1,21,8,38.1,3.97,1.51,0.05,0.13,1,0,0,1.9,1.9,0.09,-0.9,-0.9,Matches
162,Sam Gallagher\Sam-Gallagher,eng ENG,FW,Southampton,22,1995,0.4,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
163,Idrissa Gana Gueye\Idrissa-Gana-Gueye,sn SEN,MF,Everton,28,1989,31.4,0,20,3,15,0.64,0.1,0,0,0,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches
164,James Garner\James-Garner,eng ENG,MF,Manchester Utd,17,2001,0,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
165,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Tottenham,26,1992,3,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
166,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,27,1990,38,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
167,Rachid Ghezzal\Rachid-Ghezzal,dz ALG,FWMF,Leicester City,26,1992,8.3,1,21,6,28.6,2.54,0.73,0.05,0.17,1,0,0,1,1,0.05,0,0,Matches
168,Morgan Gibbs-White\Morgan-Gibbs-White,eng ENG,MFFW,Wolves,18,2000,7.4,0,8,1,12.5,1.09,0.14,0,0,0,0,0,0.9,0.9,0.12,-0.9,-0.9,Matches
169,Ben Gibson\Ben-Gibson,eng ENG,DF,Burnley,25,1993,0.7,1,1,1,100,1.45,1.45,1,1,0,0,0,0.5,0.5,0.47,0.5,0.5,Matches
170,Olivier Giroud\Olivier-Giroud,fr FRA,FW,Chelsea,31,1986,9.4,2,31,10,32.3,3.29,1.06,0.06,0.2,0,0,0,3.7,3.7,0.12,-1.7,-1.7,Matches
171,André Gomes\Andre-Gomes,pt POR,MF,Everton,25,1993,22,1,22,5,22.7,1,0.23,0.05,0.2,0,0,0,1.7,1.7,0.09,-0.7,-0.7,Matches
172,Angel Gomes\Angel-Gomes,eng ENG,MFFW,Manchester Utd,17,2000,0.3,0,2,1,50,6.67,3.33,0,0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
173,Joe Gomez\Joe-Gomez,eng ENG,DF,Liverpool,21,1997,11.8,0,4,1,25,0.34,0.08,0,0,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
174,Jon Gorenc Stankovi?\Jon-Gorenc-Stankovic,si SVN,MFDF,Huddersfield,22,1996,7.9,1,9,2,22.2,1.13,0.25,0.11,0.5,0,0,0,0.9,0.9,0.1,0.1,0.1,Matches
175,Dan Gosling\Dan-Gosling,eng ENG,MF,Bournemouth,28,1990,19.3,2,21,7,33.3,1.09,0.36,0.1,0.29,0,0,0,1.5,1.5,0.07,0.5,0.5,Matches
176,Karlan Grant\Karlan-Grant,eng ENG,FWMF,Huddersfield,20,1997,9.7,3,21,10,47.6,2.16,1.03,0.14,0.3,0,0,0,2.7,2.7,0.13,0.3,0.3,Matches
177,Andre Gray\Andre-Gray,eng ENG,FW,Watford,27,1991,15.2,7,37,15,40.5,2.44,0.99,0.19,0.47,0,0,0,6.1,6.1,0.17,0.9,0.9,Matches
178,Demarai Gray\Demarai-Gray,eng ENG,FWMF,Leicester City,22,1996,22.1,4,46,19,41.3,2.09,0.86,0.09,0.21,1,0,0,4,4,0.09,0,0,Matches
179,Mason Greenwood\Mason-Greenwood,eng ENG,FW,Manchester Utd,16,2001,1.3,0,7,4,57.1,5.38,3.08,0,0,0,0,0,0.9,0.9,0.12,-0.9,-0.9,Matches
180,Pascal Groß\Pascal-Gross,de GER,MF,Brighton,27,1991,20.7,3,21,7,33.3,1.01,0.34,0.1,0.29,1,1,2,3.7,2.2,0.11,-0.7,-0.2,Matches
181,Vicente Guaita\Vicente-Guaita,es ESP,GK,Crystal Palace,31,1987,19.5,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
182,Mattéo Guendouzi\Matteo-Guendouzi,fr FRA,MF,Arsenal,19,1999,23.9,0,15,3,20,0.63,0.13,0,0,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
183,?lkay Gündo?an\Ilkay-Gundogan,de GER,MF,Manchester City,27,1990,23.7,6,43,11,25.6,1.81,0.46,0.14,0.55,2,0,0,3.6,3.6,0.08,2.4,2.4,Matches
184,Angus Gunn\Angus-Gunn,eng ENG,GK,Southampton,22,1996,12,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
185,Aron Gunnarsson\Aron-Gunnarsson,is ISL,MF,Cardiff City,29,1989,25.2,1,20,4,20,0.79,0.16,0.05,0.25,0,0,0,1.3,1.3,0.06,-0.3,-0.3,Matches
186,Florent Hadergjonaj\Florent-Hadergjonaj,xk KVX,DFMF,Huddersfield,24,1994,20.5,0,6,2,33.3,0.29,0.1,0,0,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
187,Ben Hamer\Ben-Hamer,eng ENG,GK,Huddersfield,30,1987,6.1,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
188,Kadeem Harris\Kadeem-Harris,eng ENG,MFFW,Cardiff City,25,1993,4.2,1,5,3,60,1.2,0.72,0.2,0.33,0,0,0,1,1,0.2,0,0,Matches
189,Joe Hart\Joe-Hart,eng ENG,GK,Burnley,31,1987,19,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
190,Isaac Hayden\Isaac-Hayden,eng ENG,MF,Newcastle Utd,23,1995,20.7,1,20,5,25,0.97,0.24,0.05,0.2,0,0,0,0.9,0.9,0.04,0.1,0.1,Matches
191,Eden Hazard\Eden-Hazard,be BEL,FW,Chelsea,27,1991,32.5,16,90,39,43.3,2.77,1.2,0.13,0.31,2,4,4,11.3,8.2,0.09,4.7,3.8,Matches
192,Rhys Healey\Rhys-Healey,wal WAL,FWMF,Cardiff City,23,1994,0.6,0,1,0,0,1.73,0,0,,0,0,0,0,0,0.04,0,0,Matches
193,Tom Heaton\Tom-Heaton,eng ENG,GK,Burnley,32,1986,19,0,1,0,0,0.05,0,0,,0,0,0,0,0,0.04,0,0,Matches
194,Jordan Henderson\Jordan-Henderson,eng ENG,MF,Liverpool,28,1990,22.1,1,16,1,6.3,0.72,0.05,0.06,1,0,0,0,1.7,1.7,0.11,-0.7,-0.7,Matches
195,Jeff Hendrick\Jeff-Hendrick,ie IRL,MFFW,Burnley,26,1992,22.9,3,19,6,31.6,0.83,0.26,0.16,0.5,1,0,0,1.4,1.4,0.08,1.6,1.6,Matches
196,Wayne Hennessey\Wayne-Hennessey,wal WAL,GK,Crystal Palace,31,1987,17.5,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
