,,Total,Total,Total,Total,Total,,,,,,,,,
Player,Squad,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xA,A-xA,KP,01-Mar,PPA,CrsPA,Prog,Matches
Álvaro Morata\Alvaro-Morata,Chelsea,171,219,78.1,2572,235,0,0.2,-0.2,6,13,1,0,5,Matches
Alberto Moreno\Alberto-Moreno,Liverpool,110,126,87.3,2136,675,0,0.2,-0.2,3,7,5,1,15,Matches
Wes Morgan\Wes-Morgan,Leicester City,739,896,82.5,15028,4386,0,0.2,-0.2,2,34,0,0,34,Matches
Sean Morrison\Sean-Morrison,Cardiff City,525,909,57.8,11406,5405,3,2.5,0.5,17,35,8,1,68,Matches
Victor Moses\Victor-Moses,Chelsea,11,14,78.6,167,18,0,0,0,0,0,1,0,1,Matches
Steve Mounié\Steve-Mounie,Huddersfield,363,557,65.2,5226,903,3,1.6,1.4,17,25,3,0,27,Matches
Lucas Moura\Lucas-Moura,Tottenham,561,745,75.3,8649,2162,0,1.9,-1.9,27,37,18,2,61,Matches
Lys Mousset\Lys-Mousset,Bournemouth,86,121,71.1,1107,286,0,0.5,-0.5,4,9,6,0,10,Matches
João Moutinho\Joao-Moutinho,Wolves,1660,2063,80.5,35146,9787,8,5.7,2.3,80,195,45,14,263,Matches
Jacob Murphy\Jacob-Murphy,Newcastle Utd,39,71,54.9,839,321,1,0.4,0.6,1,2,3,2,9,Matches
Josh Murphy\Josh-Murphy,Cardiff City,209,384,54.4,3749,1464,2,3,-1,14,20,12,6,35,Matches
Glenn Murray\Glenn-Murray,Brighton,385,633,60.8,5595,1071,1,0.8,0.2,11,25,9,3,36,Matches
Shkodran Mustafi\Shkodran-Mustafi,Arsenal,1438,1747,82.3,31858,10818,0,0.2,-0.2,5,112,10,0,105,Matches
Yoshinori Mut?\Yoshinori-Muto,Newcastle Utd,89,127,70.1,1240,289,0,0.3,-0.3,3,10,1,0,8,Matches
Georges-Kévin N'Koudou\Georges-Kevin-NKoudou,Tottenham,3,4,75,79,35,1,0.2,0.8,1,0,1,1,1,Matches
Samir Nasri\Samir-Nasri,West Ham,135,155,87.1,2084,479,2,0.8,1.2,6,11,6,1,13,Matches
Marc Navarro\Marc-Navarro,Watford,22,34,64.7,439,98,0,0,0,0,0,0,0,2,Matches
Wilfred Ndidi\Wilfred-Ndidi,Leicester City,1634,2035,80.3,29967,7215,0,1.5,-1.5,22,155,11,0,153,Matches
