,,Total,Total,Total,Total,Total,,,,,,,,,
Player,Squad,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xA,A-xA,KP,01-Mar,PPA,CrsPA,Prog,Matches
Sam Surridge\Sam-Surridge,Bournemouth,3,5,60,34,0,0,0.1,-0.1,1,0,0,0,0,Matches
Alexander Sørloth\Alexander-Sorloth,Crystal Palace,41,62,66.1,575,126,0,0.6,-0.6,3,2,1,0,5,Matches
Matt Targett\Matt-Targett,Southampton,456,688,66.3,8192,4023,3,2.5,0.5,22,34,14,8,107,Matches
James Tarkowski\James-Tarkowski,Burnley,790,1117,70.7,19562,7659,1,0.3,0.7,6,91,13,0,102,Matches
Charlie Taylor\Charlie-Taylor,Burnley,1224,1707,71.7,22327,9588,1,1.1,-0.1,12,66,22,13,163,Matches
Youri Tielemans\Youri-Tielemans,Leicester City,542,645,84,10283,2343,4,2.5,1.5,19,65,13,3,71,Matches
James Tomkins\James-Tomkins,Crystal Palace,915,1089,84,21711,6868,1,0.9,0.1,6,62,1,0,51,Matches
Lucas Torreira\Lucas-Torreira,Arsenal,1420,1623,87.5,26416,6358,2,1.3,0.7,16,104,18,1,137,Matches
Cenk Tosun\Cenk-Tosun,Everton,190,255,74.5,2712,511,3,0.5,2.5,11,9,9,1,18,Matches
Andros Townsend\Andros-Townsend,Crystal Palace,895,1237,72.4,14634,3903,4,5.2,-1.2,64,56,44,21,134,Matches
Adama Traoré\Adama-Traore,Wolves,240,334,71.9,4012,1228,1,1.8,-0.8,17,17,20,13,45,Matches
Mark Travers\Mark-Travers,Bournemouth,43,57,75.4,1271,698,0,0,0,0,0,0,0,1,Matches
Kieran Trippier\Kieran-Trippier,Tottenham,1515,2000,75.8,29627,11796,3,4.2,-1.2,48,94,65,30,262,Matches
Antonio Valencia\Antonio-Valencia,Manchester Utd,275,321,85.7,4635,1872,0,0.6,-0.6,7,23,7,4,40,Matches
Yan Valery\Yan-Valery,Southampton,380,621,61.2,6565,2881,1,0.2,0.8,5,31,7,3,83,Matches
Jamie Vardy\Jamie-Vardy,Leicester City,286,443,64.6,4490,864,4,4.4,-0.4,29,13,17,5,38,Matches
Jan Vertonghen\Jan-Vertonghen,Tottenham,1338,1535,87.2,28046,8789,0,0.2,-0.2,3,121,7,3,93,Matches
Jannik Vestergaard\Jannik-Vestergaard,Southampton,671,887,75.6,13485,5150,0,0.6,-0.6,6,66,2,0,73,Matches
Luciano Vietto\Luciano-Vietto,Fulham,334,435,76.8,5212,1208,4,2.2,1.8,23,16,12,4,30,Matches
Rúben Vinagre\Ruben-Vinagre,Wolves,301,424,71,4792,1804,0,0.8,-0.8,6,18,7,6,50,Matches
Sam Vokes\Sam-Vokes,Burnley,151,259,58.3,1987,492,0,0.5,-0.5,6,18,4,1,21,Matches
Michel Vorm\Michel-Vorm,Tottenham,51,59,86.4,1224,603,0,0,0,0,0,0,0,0,Matches
Mat?j Vydra\Matej-Vydra,Burnley,46,77,59.7,626,83,1,0.2,0.8,1,0,4,0,4,Matches
Theo Walcott\Theo-Walcott,Everton,447,631,70.8,6647,2053,2,2.5,-0.5,21,41,18,11,66,Matches
Kyle Walker\Kyle-Walker,Manchester City,2337,2655,88,46092,11890,1,1.7,-0.7,24,252,29,4,189,Matches
Kyle Walker-Peters\Kyle-Walker-Peters,Tottenham,186,226,82.3,2926,1001,3,0.7,2.3,8,6,4,2,21,Matches
Aaron Wan-Bissaka\Aaron-Wan-Bissaka,Crystal Palace,1156,1537,75.2,17192,8382,3,1.8,1.2,14,84,23,8,164,Matches
Victor Wanyama\Victor-Wanyama,Tottenham,259,314,82.5,4587,906,0,0,0,2,19,0,0,16,Matches
Danny Ward\Danny-Ward,Cardiff City,47,85,55.3,807,189,0,0.2,-0.2,4,5,1,0,8,Matches
Joel Ward\Joel-Ward,Crystal Palace,185,256,72.3,3043,1705,0,0.2,-0.2,3,19,3,1,28,Matches
Stephen Ward\Stephen-Ward,Burnley,112,154,72.7,2162,878,0,0.1,-0.1,1,9,2,1,16,Matches
James Ward-Prowse\James-Ward-Prowse,Southampton,622,913,68.1,11436,3571,0,3.2,-3.2,44,52,12,5,88,Matches
Danny Welbeck\Danny-Welbeck,Arsenal,41,54,75.9,671,266,1,0.7,0.3,7,7,3,0,11,Matches
Ashley Westwood\Ashley-Westwood,Burnley,1111,1504,73.9,22653,7205,7,5.1,1.9,43,142,41,10,200,Matches
Connor Wickham\Connor-Wickham,Crystal Palace,6,13,46.2,74,26,1,0.3,0.7,1,0,0,0,1,Matches
Georginio Wijnaldum\Georginio-Wijnaldum,Liverpool,1620,1778,91.1,28561,6236,0,1.2,-1.2,21,191,18,2,131,Matches
Danny Williams\Danny-Williams,Huddersfield,20,26,76.9,339,88,0,0,0,1,3,0,0,3,Matches
Willian\Willian,Chelsea,1100,1414,77.8,19101,5127,6,6.2,-0.2,82,62,52,13,186,Matches
Joe Willock\Joe-Willock,Arsenal,12,12,100,207,29,0,0,0,0,2,0,0,0,Matches
Ben Wilmot\Ben-Wilmot,Watford,8,10,80,231,143,0,0,0,0,2,0,0,1,Matches
Jack Wilshere\Jack-Wilshere,West Ham,190,208,91.3,3263,607,1,0.4,0.6,5,20,2,0,11,Matches
Callum Wilson\Callum-Wilson,Bournemouth,319,456,70,4917,1214,9,4.2,4.8,28,17,20,3,45,Matches
Harry Winks\Harry-Winks,Tottenham,1286,1398,92,23997,4992,0,0.2,-0.2,6,136,13,0,85,Matches
Chris Wood\Chris-Wood,Burnley,406,614,66.1,5246,1004,2,2,0,15,19,10,1,26,Matches
Granit Xhaka\Granit-Xhaka,Arsenal,1955,2378,82.2,40479,11996,2,3.6,-1.6,38,229,36,10,272,Matches
Andriy Yarmolenko\Andriy-Yarmolenko,West Ham,168,214,78.5,2806,801,0,0.5,-0.5,5,8,10,1,20,Matches
DeAndre Yedlin\DeAndre-Yedlin,Newcastle Utd,784,1097,71.5,13744,6354,2,2.9,-0.9,29,47,31,13,156,Matches
Maya Yoshida\Maya-Yoshida,Southampton,424,543,78.1,8508,2929,1,0.4,0.6,6,35,2,0,33,Matches
Ashley Young\Ashley-Young,Manchester Utd,1380,1904,72.5,27132,11875,2,3.4,-1.4,42,118,33,12,259,Matches
Pablo Zabaleta\Pablo-Zabaleta,West Ham,863,1146,75.3,13862,5935,1,0.8,0.2,7,70,11,4,145,Matches
Wilfried Zaha\Wilfried-Zaha,Crystal Palace,839,1094,76.7,12534,3684,5,5.6,-0.6,54,61,68,10,147,Matches
Andre-Frank Zambo Anguissa\Andre-Frank-Zambo-Anguissa,Fulham,931,1063,87.6,15819,4580,0,0.4,-0.4,7,96,6,1,83,Matches
Davide Zappacosta\Davide-Zappacosta,Chelsea,77,91,84.6,1256,350,0,0.1,-0.1,1,2,1,1,7,Matches
Oleksandr Zinchenko\Oleksandr-Zinchenko,Manchester City,1208,1338,90.3,21165,5392,3,1.3,1.7,12,131,21,4,117,Matches
Kenneth Zohore\Kenneth-Zohore,Cardiff City,101,153,66,1408,280,1,1.1,-0.1,13,6,4,2,10,Matches
Kurt Zouma\Kurt-Zouma,Everton,1218,1429,85.2,26415,8401,2,0.3,1.7,6,71,4,0,87,Matches
