Player,Pos,Squad,Min,Mn/MP,90s,Subs,Gls,Sh,SoT,Sh/90,SoT/90,PK,PKatt,xG,Cmp,Att,Cmp%,Ast,xA,KP,FinalThird,PPA,CrsPA,Tkl,TklW,Blocks,Int,Clr,Err,CrdY,CrdR,Fls,Off,OG,Recov,total_points,CBI,PK_miss,succ_tackle
Idrissa Gana Gueye,MF,Everton,2822.0,86.0,31.4,1,0,20,3,0.64,0.1,0,0,0.7,1478,1758,84.1,2,1.0,19,172,20,2,135,97,58,74,50,1,6,0,54,0,0,447,78,182,0,59
James Garner,MF,Manchester Utd,1.0,1.0,0.0,1,0,0,0,0.0,0.0,0,0,0.0,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Rachid Ghezzal,FW,Leicester City,743.0,39.0,8.3,11,1,21,6,2.54,0.73,0,0,1.0,355,466,76.2,0,1.6,15,18,18,7,13,9,11,7,5,0,3,0,13,0,0,74,28,23,0,5
Morgan Gibbs-White,MF,Wolves,663.0,26.0,7.4,21,0,8,1,1.09,0.14,0,0,0.9,271,336,80.7,1,1.5,12,20,8,0,5,2,5,2,3,0,1,0,8,2,0,61,37,10,0,-1
Ben Gibson,DF,Burnley,62.0,62.0,0.7,0,1,1,1,1.45,1.45,0,0,0.5,21,32,65.6,0,0.0,0,1,0,0,2,2,1,0,3,0,1,0,2,0,0,10,6,4,0,2
Olivier Giroud,FW,Chelsea,847.0,31.0,9.4,20,2,31,10,3.29,1.06,0,0,3.7,174,251,69.3,4,1.9,16,5,6,0,4,2,6,3,4,0,1,0,12,6,0,22,55,13,0,0
André Gomes,MF,Everton,1980.0,73.0,22.0,3,1,22,5,1.0,0.23,0,0,1.7,1025,1230,83.3,1,0.6,7,106,21,3,43,32,32,20,21,0,7,0,49,0,0,266,64,73,0,21
Angel Gomes,MF,Manchester Utd,27.0,14.0,0.3,2,0,2,1,6.67,3.33,0,0,0.1,20,23,87.0,0,0.0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,-1
Joe Gomez,DF,Liverpool,1063.0,66.0,11.8,4,0,4,1,0.34,0.08,0,0,0.2,705,828,85.1,0,0.3,6,40,3,1,16,11,14,15,33,1,2,0,12,0,0,141,55,62,0,6
Dan Gosling,MF,Bournemouth,1739.0,70.0,19.3,6,2,21,7,1.09,0.36,0,0,1.5,755,951,79.4,1,1.1,7,89,16,0,45,25,37,22,38,1,8,0,29,2,0,226,54,97,0,5
Andre Gray,FW,Watford,1366.0,47.0,15.2,16,7,37,15,2.44,0.99,0,0,6.1,171,255,67.1,2,1.5,13,12,2,1,3,3,5,2,3,0,2,0,12,16,0,49,83,10,0,3
Demarai Gray,FW,Leicester City,1985.0,58.0,22.1,11,4,46,19,2.09,0.86,0,0,4.0,523,709,73.8,1,0.7,11,40,18,0,19,13,26,9,12,0,2,0,15,3,0,137,84,47,0,7
Mason Greenwood,FW,Manchester Utd,117.0,39.0,1.3,2,0,7,4,5.38,3.08,0,0,0.9,51,61,83.6,0,0.1,3,2,2,0,3,1,2,0,1,0,0,0,0,2,0,9,4,3,0,-1
Pascal Groß,MF,Brighton,1864.0,75.0,20.7,1,3,21,7,1.01,0.34,1,2,3.7,654,948,69.0,3,4.7,53,76,25,11,24,15,33,15,22,0,1,0,12,5,0,151,80,70,1,6
Mattéo Guendouzi,MF,Arsenal,2149.0,65.0,23.9,10,0,15,3,0.63,0.13,0,0,0.4,1412,1623,87.0,0,2.1,19,151,27,2,36,25,37,27,28,1,9,0,25,0,0,272,47,92,0,14
Ilkay Gündogan,MF,Manchester City,2137.0,69.0,23.7,8,6,43,11,1.81,0.46,0,0,3.6,1837,2095,87.7,3,4.1,43,185,51,5,17,10,30,29,23,0,3,0,14,0,0,239,113,82,0,3
Isaac Hayden,MF,Newcastle Utd,1859.0,74.0,20.7,4,1,20,5,0.97,0.24,0,0,0.9,581,724,80.2,4,1.7,20,49,10,2,66,43,46,38,42,1,3,1,32,0,0,225,69,126,0,20
Eden Hazard,FW,Chelsea,2923.0,79.0,32.5,5,16,90,39,2.77,1.2,4,4,11.3,1595,1999,79.8,15,9.4,93,124,108,11,8,6,14,10,1,0,2,0,12,11,0,173,238,25,0,4
Jordan Henderson,MF,Liverpool,1987.0,62.0,22.1,11,1,16,1,0.72,0.05,0,0,1.7,1550,1799,86.2,3,1.5,14,193,27,7,44,37,42,32,22,0,2,1,26,2,0,278,76,96,0,30
Jeff Hendrick,MF,Burnley,2063.0,64.0,22.9,7,3,19,6,0.83,0.26,0,0,1.4,511,697,73.3,0,1.5,15,29,20,4,36,25,29,13,26,0,4,0,18,9,0,185,73,68,0,14
Javier Hernández,FW,West Ham,1334.0,53.0,14.8,11,7,34,16,2.29,1.08,0,0,6.3,239,333,71.8,1,1.7,6,22,9,0,3,2,5,2,8,0,2,0,9,12,0,46,86,15,0,1
Ander Herrera,MF,Manchester Utd,1403.0,64.0,15.6,6,2,21,9,1.35,0.58,0,0,1.7,864,990,87.3,3,1.0,12,62,10,1,54,37,38,39,24,0,4,0,21,0,0,156,62,101,0,20
Son Heung-min,FW,Tottenham,2039.0,66.0,22.7,8,12,75,28,3.31,1.24,0,0,7.8,646,772,83.7,6,3.2,31,31,31,4,18,7,27,8,5,0,2,1,11,22,0,129,159,40,0,-4
Gonzalo Higuaín,FW,Chelsea,1085.0,78.0,12.1,1,5,45,13,3.73,1.08,0,0,5.3,253,325,77.8,0,1.1,15,8,9,0,6,5,6,1,4,0,0,0,6,11,0,39,53,11,0,4
Wesley Hoedt,DF,Southampton,1170.0,90.0,13.0,0,0,6,1,0.46,0.08,0,0,0.5,495,642,77.1,0,0.0,1,48,1,0,26,11,23,23,62,0,2,0,15,0,2,170,29,108,0,-4
Rob Holding,DF,Arsenal,807.0,81.0,9.0,1,0,1,0,0.11,0.0,0,0,0.0,540,614,87.9,0,0.1,2,20,1,0,14,10,19,10,32,0,1,0,6,0,0,93,24,61,0,6
José Holebas,DF,Watford,2393.0,85.0,26.6,1,3,17,6,0.64,0.23,0,0,1.2,819,1330,61.6,6,3.7,36,53,16,10,68,45,48,19,82,0,12,1,34,2,0,293,93,149,0,22
Mason Holgate,DF,Everton,408.0,82.0,4.5,1,0,0,0,0.0,0.0,0,0,0.0,192,258,74.4,0,0.0,0,36,3,0,5,2,5,3,19,0,1,0,2,1,0,65,5,27,0,-1
Callum Hudson-Odoi,FW,Chelsea,393.0,39.0,4.4,6,0,6,3,1.37,0.69,0,0,0.7,192,236,81.4,1,1.0,8,7,9,5,8,6,2,3,0,0,0,0,1,3,0,22,18,5,0,4
Will Hughes,MF,Watford,2418.0,76.0,26.9,1,2,31,8,1.15,0.3,0,0,2.5,773,1007,76.8,4,3.4,28,65,29,5,71,42,71,25,26,0,5,0,54,0,0,254,87,122,0,13
Emerson Hyndman,MF,Bournemouth,38.0,38.0,0.4,1,0,0,0,0.0,0.0,0,0,0.0,17,23,73.9,0,0.0,0,2,0,0,4,2,1,1,0,0,0,0,0,0,0,3,1,2,0,0
Pierre Højbjerg,MF,Southampton,2760.0,89.0,30.7,0,4,53,19,1.73,0.62,0,0,2.5,1495,1824,82.0,3,2.3,27,213,19,5,80,64,60,64,30,1,8,2,50,0,0,441,90,154,0,48
Jordon Ibe,MF,Bournemouth,797.0,42.0,8.9,10,1,9,3,1.02,0.34,0,0,0.6,214,285,75.1,1,0.7,10,13,19,4,4,3,3,4,5,0,1,0,8,0,0,59,33,12,0,2
Vicente Iborra,MF,Leicester City,229.0,29.0,2.5,5,0,2,1,0.79,0.39,0,0,0.2,124,144,86.1,0,0.0,1,15,1,0,5,4,3,5,4,0,0,0,6,0,0,28,9,12,0,3
Kelechi Iheanacho,FW,Leicester City,941.0,31.0,10.5,21,1,19,6,1.82,0.57,0,0,2.4,217,288,75.3,3,1.6,14,10,7,1,8,6,6,2,2,0,2,0,14,8,0,51,58,10,0,4
Danny Ings,FW,Southampton,1651.0,69.0,18.3,1,7,52,19,2.83,1.04,3,3,8.6,287,417,68.8,3,2.5,25,32,16,2,26,16,20,4,8,1,1,0,16,6,0,82,90,32,0,6
Alex Iwobi,FW,Arsenal,1970.0,56.0,21.9,13,3,35,14,1.6,0.64,0,0,3.3,774,1031,75.1,6,5.5,39,48,59,14,23,17,27,12,4,0,0,0,8,2,0,126,99,43,0,11
José Izquierdo,MF,Brighton,795.0,53.0,8.8,6,0,15,4,1.7,0.45,0,0,0.7,162,210,77.1,1,0.5,5,9,4,1,18,8,10,5,9,0,1,0,6,4,0,68,31,24,0,-2
Phil Jagielka,DF,Everton,331.0,47.0,3.7,3,1,1,1,0.27,0.27,0,0,0.4,136,177,76.8,0,0.2,1,8,0,0,8,5,7,2,23,0,0,1,2,0,0,45,22,32,0,2
Alireza Jahanbakhsh,FW,Brighton,1020.0,54.0,11.3,7,0,22,7,1.94,0.62,0,0,0.8,210,306,68.6,0,0.3,4,16,6,1,39,24,12,11,7,0,2,0,19,6,0,87,33,30,0,9
Daryl Janmaat,DF,Watford,1520.0,84.0,16.9,1,0,11,1,0.65,0.06,0,0,0.4,563,795,70.8,2,0.7,10,48,23,11,33,16,35,30,58,0,3,0,16,1,0,196,50,123,0,-1
Vincent Janssen,FW,Tottenham,39.0,13.0,0.4,3,0,3,2,6.92,4.62,0,0,0.3,7,10,70.0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,2,3,0,0,-1
Carl Jenkinson,DF,Arsenal,166.0,55.0,1.8,1,0,0,0,0.0,0.0,0,0,0.0,72,92,78.3,0,0.0,0,2,1,0,4,3,3,0,2,0,0,0,1,0,0,12,4,5,0,2
Gabriel Jesus,FW,Manchester City,1036.0,36.0,11.5,21,7,42,22,3.65,1.91,1,1,9.2,296,358,82.7,3,1.7,20,14,6,0,9,6,14,2,2,0,1,0,12,15,0,57,79,18,0,3
Raúl Jiménez,FW,Wolves,3111.0,82.0,34.6,2,13,113,32,3.27,0.93,2,2,14.2,789,1072,73.6,7,7.1,42,44,39,5,26,17,23,27,40,0,4,0,41,33,0,194,181,90,0,8
Ben Johnson,DF,West Ham,62.0,62.0,0.7,0,0,0,0,0.0,0.0,0,0,0.0,19,22,86.4,0,0.0,0,1,0,0,1,1,3,1,1,0,0,0,0,0,0,1,2,5,0,1
Tyreke Johnson,FW,Southampton,1.0,1.0,0.0,1,0,0,0,0.0,0.0,0,0,0.0,0,0,-9.223372036854776e+18,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Phil Jones,DF,Manchester Utd,1263.0,70.0,14.0,3,0,5,2,0.36,0.14,0,0,0.4,692,748,92.5,1,0.5,3,31,2,0,26,18,26,22,86,1,1,0,8,0,0,154,43,134,0,10
Jorginho,MF,Chelsea,3156.0,85.0,35.1,0,2,18,6,0.51,0.17,1,1,1.5,2703,3032,89.1,0,3.2,29,348,47,1,75,55,55,67,28,0,8,0,33,0,0,426,96,150,0,35
Joselu,FW,Newcastle Utd,596.0,37.0,6.6,11,2,16,5,2.42,0.76,0,0,1.5,124,195,63.6,0,0.0,1,9,1,0,10,7,7,3,14,0,1,0,5,4,0,35,30,24,0,4
Diogo Jota,FW,Wolves,2355.0,71.0,26.2,4,9,57,23,2.18,0.88,0,0,8.0,597,788,75.8,5,4.0,27,48,24,6,29,19,22,14,9,0,11,0,42,6,0,167,139,45,0,9
Christian Kabasele,DF,Watford,1586.0,76.0,17.6,2,0,8,2,0.45,0.11,0,0,1.3,429,588,73.0,0,0.1,1,30,0,0,30,18,38,37,93,1,4,1,23,0,0,175,36,168,0,6
Harry Kane,FW,Tottenham,2424.0,87.0,26.9,1,17,97,42,3.6,1.56,4,4,14.1,423,575,73.6,4,4.0,29,58,17,3,11,7,18,1,13,0,5,0,31,10,0,88,160,32,0,3
N'Golo Kanté,MF,Chelsea,3092.0,86.0,34.4,0,4,29,6,0.84,0.17,0,0,2.7,1805,2056,87.8,4,3.7,47,149,40,7,78,61,72,45,26,0,3,0,35,6,0,356,116,143,0,44
Beram Kayal,MF,Brighton,940.0,52.0,10.4,9,1,4,1,0.38,0.1,0,0,0.3,203,292,69.5,1,1.0,5,20,3,1,33,27,23,16,28,0,4,0,18,0,0,98,36,67,0,21
Michael Keane,DF,Everton,2969.0,90.0,33.0,0,1,29,9,0.88,0.27,0,0,1.9,1285,1558,82.5,2,0.7,8,97,4,0,37,27,53,47,222,3,2,0,23,0,0,416,129,322,0,17
Naby Keïta,MF,Liverpool,1390.0,56.0,15.4,9,2,28,9,1.81,0.58,0,0,2.1,898,1013,88.6,1,1.1,10,95,33,1,39,20,36,13,13,0,0,0,24,0,0,142,67,62,0,1
Martin Kelly,DF,Crystal Palace,1111.0,85.0,12.3,1,0,3,1,0.24,0.08,0,0,0.4,263,346,76.0,0,0.1,1,19,2,0,21,14,25,11,103,3,2,0,6,0,1,85,26,139,0,7
Kenedy,MF,Newcastle Utd,1348.0,54.0,15.0,11,1,29,5,1.94,0.33,0,1,2.5,386,548,70.4,1,0.8,11,33,13,5,33,23,31,30,20,0,1,0,18,5,0,164,50,81,1,13
Jonjoe Kenny,DF,Everton,791.0,79.0,8.8,2,0,3,0,0.34,0.0,0,0,0.1,431,575,75.0,1,0.3,5,47,13,3,22,12,20,16,25,0,1,0,10,0,0,108,19,61,0,2
Max Kilman,DF,Wolves,1.0,1.0,0.0,1,0,0,0,0.0,0.0,0,0,0.0,0,0,-9.223372036854776e+18,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Joshua King,FW,Bournemouth,2961.0,85.0,32.9,1,12,64,18,1.95,0.55,5,6,12.5,607,868,69.9,3,4.1,37,42,39,7,32,25,45,6,12,0,3,0,52,7,0,194,141,63,1,18
Anthony Knockaert,FW,Brighton,1837.0,61.0,20.4,12,2,29,9,1.42,0.44,0,0,2.9,523,736,71.1,6,4.2,40,22,18,6,28,17,24,29,10,0,4,1,23,3,0,154,74,63,0,6
Sead Kolašinac,DF,Arsenal,1887.0,79.0,21.0,2,0,10,2,0.48,0.1,0,0,0.5,973,1227,79.3,5,5.5,32,52,24,9,32,18,18,22,40,2,5,0,21,11,1,186,81,80,0,4
Vincent Kompany,DF,Manchester City,1224.0,72.0,13.6,4,1,3,1,0.22,0.07,0,0,0.2,1127,1212,93.0,0,0.1,3,109,1,0,13,9,14,15,61,0,6,0,17,1,0,143,58,90,0,5
Laurent Koscielny,DF,Arsenal,1331.0,78.0,14.8,4,3,5,4,0.34,0.27,0,0,1.7,805,871,92.4,0,0.1,2,27,2,0,19,10,27,29,95,1,1,0,11,0,0,140,62,151,0,1
Cheikhou Kouyaté,MF,Crystal Palace,1899.0,61.0,21.1,10,0,21,8,1.0,0.38,0,0,1.4,639,798,80.1,2,0.9,15,67,6,3,54,34,46,17,43,1,3,0,35,4,0,241,67,106,0,14
Mateo Kovacic,MF,Chelsea,1735.0,54.0,19.3,11,0,29,3,1.5,0.16,0,0,1.8,1355,1485,91.2,2,2.4,25,136,21,1,49,34,18,9,14,0,3,0,19,0,0,142,64,41,0,19
Alexandre Lacazette,FW,Arsenal,2502.0,71.0,27.8,8,13,81,28,2.91,1.01,0,0,11.8,579,797,72.6,8,2.9,29,32,45,3,35,28,30,15,22,0,2,0,51,24,0,104,166,67,0,21
Adam Lallana,MF,Liverpool,468.0,36.0,5.2,8,0,5,2,0.96,0.38,0,0,0.4,253,304,83.2,0,0.5,9,13,9,0,16,11,16,3,4,0,1,0,4,0,0,39,23,23,0,6
Érik Lamela,FW,Tottenham,974.0,51.0,10.8,10,4,29,11,2.68,1.02,0,0,3.4,368,449,82.0,2,2.7,24,26,20,2,21,15,15,8,2,0,2,0,23,1,0,76,67,25,0,9
Manuel Lanzini,MF,West Ham,686.0,69.0,7.6,2,1,11,4,1.44,0.52,0,0,1.3,408,471,86.6,1,1.1,6,28,7,0,10,9,7,7,3,0,2,0,5,0,0,50,31,17,0,8
Aymeric Laporte,DF,Manchester City,3057.0,87.0,34.0,1,3,27,7,0.79,0.21,0,0,2.2,2793,3028,92.2,3,1.1,14,322,7,0,44,27,29,38,124,0,3,0,22,2,0,352,177,191,0,10
Jamaal Lascelles,DF,Newcastle Utd,2745.0,86.0,30.5,0,0,10,1,0.33,0.03,0,0,0.5,836,1087,76.9,1,0.3,2,42,0,0,35,16,65,39,199,1,4,0,16,1,0,375,95,303,0,-3
Florian Lejeune,DF,Newcastle Utd,1054.0,88.0,11.7,0,0,6,2,0.51,0.17,0,0,0.4,427,554,77.1,0,0.3,3,49,3,0,29,14,29,20,58,1,0,0,11,0,0,140,35,107,0,-1
Mario Lemina,MF,Southampton,1613.0,77.0,17.9,3,1,27,4,1.51,0.22,0,0,1.2,704,833,84.5,1,0.4,11,67,12,1,51,40,25,42,23,0,5,0,31,1,0,192,50,90,0,29
Aaron Lennon,FW,Burnley,1215.0,76.0,13.5,2,1,4,2,0.3,0.15,0,0,0.4,235,316,74.4,1,0.6,7,7,7,2,33,20,29,8,8,0,1,0,12,0,0,70,41,45,0,7
Jefferson Lerma,MF,Bournemouth,2506.0,84.0,27.8,1,2,33,8,1.19,0.29,0,0,1.1,1320,1566,84.3,0,0.9,15,116,13,1,46,35,51,55,84,0,12,0,44,3,1,423,75,190,0,24
Stephan Lichtsteiner,DF,Arsenal,938.0,67.0,10.4,4,0,1,0,0.1,0.0,0,0,0.0,460,600,76.7,0,0.0,2,22,7,1,12,5,19,8,29,1,3,0,11,2,0,93,14,56,0,-2
Victor Lindelöf,DF,Manchester Utd,2601.0,87.0,28.9,1,1,7,1,0.24,0.03,0,0,0.6,1323,1481,89.3,1,1.0,4,57,6,0,34,21,35,24,139,0,1,0,20,0,1,296,85,198,0,8
Jesse Lingard,FW,Manchester Utd,1663.0,62.0,18.5,8,4,31,12,1.68,0.65,1,1,4.9,668,788,84.8,2,2.1,17,59,14,1,20,10,23,10,6,0,3,0,27,7,0,101,78,39,0,0
Fernando Llorente,FW,Tottenham,694.0,35.0,7.7,14,1,23,5,2.98,0.65,0,0,3.0,152,220,69.1,4,1.3,11,9,2,0,4,3,8,2,14,0,2,0,12,5,1,31,41,24,0,2
Jürgen Locadia,FW,Brighton,1236.0,48.0,13.7,14,2,26,9,1.89,0.66,0,0,3.1,263,357,73.7,0,1.0,13,12,11,3,22,14,16,9,11,0,1,0,22,11,0,90,52,36,0,6
Ruben Loftus-Cheek,MF,Chelsea,998.0,42.0,11.1,18,6,27,8,2.43,0.72,0,0,2.9,549,624,88.0,2,1.4,17,45,8,0,18,15,17,13,6,0,0,0,10,2,0,99,79,36,0,12
Kevin Long,DF,Burnley,514.0,86.0,5.7,1,0,1,0,0.18,0.0,0,0,0.1,139,177,78.5,1,0.0,0,8,0,0,21,13,12,6,27,0,0,0,3,0,0,54,16,45,0,5
Shane Long,FW,Southampton,1272.0,49.0,14.1,14,5,30,9,2.12,0.64,0,0,4.6,211,329,64.1,1,1.0,13,13,5,2,11,5,13,5,16,0,3,0,26,12,0,57,66,34,0,-1
Sean Longstaff,MF,Newcastle Utd,687.0,76.0,7.6,1,1,8,2,1.05,0.26,0,0,0.4,236,295,80.0,0,0.7,5,29,6,1,25,19,19,8,12,0,2,0,7,0,0,103,26,39,0,13
Ademola Lookman,FW,Everton,618.0,29.0,6.9,18,0,12,3,1.75,0.44,0,0,1.2,221,273,81.0,2,1.2,9,18,11,4,15,8,11,8,2,0,0,0,8,2,0,54,34,21,0,1
Dejan Lovren,DF,Liverpool,986.0,76.0,11.0,2,1,6,1,0.55,0.09,0,0,0.7,716,809,88.5,0,0.2,1,32,2,1,17,10,18,10,70,3,1,0,3,0,0,137,63,98,0,3
Matthew Lowton,DF,Burnley,1750.0,83.0,19.4,2,0,5,0,0.26,0.0,0,0,0.5,623,910,68.5,0,0.6,8,68,19,7,58,34,50,26,73,0,7,0,22,0,0,224,34,149,0,10
David Luiz,DF,Chelsea,3238.0,90.0,36.0,0,3,33,8,0.92,0.22,0,0,1.9,2293,2621,87.5,2,2.7,16,240,20,1,52,34,45,36,139,0,3,0,34,0,0,397,164,220,0,16
Romelu Lukaku,FW,Manchester Utd,2136.0,67.0,23.7,10,12,59,33,2.49,1.39,0,0,11.1,379,583,65.0,0,2.6,24,30,27,4,11,8,12,2,23,0,4,0,18,23,0,67,115,37,0,5
James Maddison,MF,Leicester City,2831.0,79.0,31.5,1,7,82,27,2.61,0.86,1,2,7.4,1243,1617,76.9,7,7.1,96,137,51,5,59,34,31,13,6,0,4,1,26,2,0,203,137,50,1,9
Harry Maguire,DF,Leicester City,2596.0,84.0,28.8,0,3,29,11,1.01,0.38,0,0,1.5,1496,1749,85.5,0,0.3,9,177,10,0,33,19,49,36,152,1,6,1,20,4,0,403,92,237,0,5
Riyad Mahrez,FW,Manchester City,1343.0,50.0,14.9,13,7,54,24,3.62,1.61,0,1,5.6,717,884,81.1,4,4.1,25,29,45,10,14,10,20,9,5,0,0,0,10,9,0,106,102,34,1,6
Ainsley Maitland-Niles,DF,Arsenal,987.0,62.0,11.0,5,1,6,3,0.55,0.27,0,0,0.9,454,571,79.5,1,1.2,6,33,14,1,35,23,29,19,18,0,2,1,8,1,0,97,34,66,0,11
Sadio Mané,FW,Liverpool,3077.0,85.0,34.2,1,22,88,42,2.57,1.23,0,0,16.1,932,1215,76.7,1,4.3,43,77,44,4,46,31,36,16,6,0,2,0,35,26,0,198,231,58,0,16
Javier Manquillo,DF,Newcastle Utd,1101.0,61.0,12.2,6,0,2,1,0.16,0.08,0,0,0.1,352,517,68.1,3,0.9,8,27,11,3,33,15,28,16,34,0,2,0,13,1,0,116,53,78,0,-3
Solly March,FW,Brighton,2463.0,70.0,27.4,5,1,42,9,1.53,0.33,0,0,2.6,597,924,64.6,5,3.8,38,35,34,20,47,24,63,28,24,0,1,0,29,7,0,186,94,115,0,1
Adrian Mariappa,DF,Watford,1927.0,74.0,21.4,6,0,5,1,0.23,0.05,0,0,0.8,736,879,83.7,0,0.7,5,47,3,1,40,14,28,25,134,2,3,0,19,1,0,188,57,187,0,-12
Anthony Martial,FW,Manchester Utd,1621.0,60.0,18.0,9,10,37,22,2.05,1.22,1,1,6.1,575,752,76.5,2,2.8,33,35,30,4,19,16,18,3,6,0,2,0,14,6,0,84,122,27,0,13
Adam Masina,DF,Watford,1004.0,72.0,11.2,3,0,3,0,0.27,0.0,0,0,0.1,436,565,77.2,1,0.4,2,30,4,2,26,14,27,16,34,0,5,0,17,1,0,130,26,77,0,2
Arthur Masuaku,DF,West Ham,1759.0,76.0,19.5,4,0,4,1,0.2,0.05,0,0,0.1,878,1092,80.4,1,1.5,15,65,13,6,53,36,48,36,53,0,2,0,16,0,0,188,49,137,0,19
Juan Mata,FW,Manchester Utd,1289.0,59.0,14.3,6,3,19,6,1.33,0.42,0,0,1.5,618,766,80.7,2,3.0,29,62,25,6,6,3,13,6,7,0,3,0,10,8,0,95,70,26,0,0
Nemanja Matic,MF,Manchester Utd,2436.0,87.0,27.1,0,1,12,3,0.44,0.11,0,0,1.4,1579,1797,87.9,0,0.9,14,173,21,4,49,29,55,31,67,0,7,1,27,1,0,377,59,153,0,9
Joël Matip,DF,Liverpool,1537.0,70.0,17.1,5,1,8,2,0.47,0.12,0,0,0.5,1158,1320,87.7,0,0.1,2,85,5,0,32,23,17,31,89,2,3,0,12,0,0,216,83,137,0,14
Konstantinos Mavropanos,DF,Arsenal,148.0,37.0,1.6,1,0,1,0,0.61,0.0,0,0,0.0,125,133,94.0,0,0.2,1,12,0,0,4,2,1,5,7,0,1,0,2,0,0,16,3,13,0,0
James McArthur,MF,Crystal Palace,3058.0,80.0,34.0,2,3,34,8,1.0,0.24,0,0,5.4,1151,1454,79.2,6,3.3,30,106,17,2,89,56,95,43,40,0,7,0,61,2,0,359,121,178,0,23
James McCarthy,MF,Everton,15.0,15.0,0.2,1,0,0,0,0.0,0.0,0,0,0.0,7,8,87.5,0,0.0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,2,1,2,0,-1
Dwight McNeil,MF,Burnley,1591.0,76.0,17.7,2,3,28,6,1.58,0.34,0,0,1.8,383,584,65.6,5,3.3,27,25,20,14,25,11,35,14,30,0,2,0,15,1,0,146,75,79,0,-3
Scott McTominay,MF,Manchester Utd,867.0,54.0,9.6,7,2,15,6,1.56,0.62,0,0,1.0,387,455,85.1,0,0.0,1,33,1,0,16,13,12,14,21,0,1,0,11,1,0,101,38,47,0,10
Ben Mee,DF,Burnley,3420.0,90.0,38.0,0,0,23,6,0.61,0.16,0,0,1.5,1119,1484,75.4,2,1.2,9,122,5,1,54,24,83,44,279,6,9,0,28,0,2,511,81,406,0,-6
Benjamin Mendy,DF,Manchester City,900.0,90.0,10.0,0,0,7,2,0.7,0.2,0,0,0.2,668,791,84.5,5,1.3,12,54,27,11,15,8,16,10,14,1,1,0,12,0,0,108,59,40,0,1
Nampalys Mendy,MF,Leicester City,2092.0,67.0,23.2,8,0,3,0,0.13,0.0,0,0,0.1,969,1106,87.6,0,0.2,6,95,5,3,40,23,40,27,22,0,5,0,22,0,0,260,58,89,0,6
Chris Mepham,DF,Bournemouth,850.0,65.0,9.4,3,0,2,0,0.21,0.0,0,0,0.0,324,391,82.9,1,0.0,0,17,0,0,10,4,18,15,64,1,1,0,7,0,0,88,27,97,0,-2
Max Meyer,MF,Crystal Palace,1416.0,49.0,15.7,14,1,35,6,2.22,0.38,0,0,2.2,566,697,81.2,2,1.2,23,45,13,2,34,16,17,17,15,0,3,0,10,1,0,117,60,49,0,-2
Luka Milivojevic,MF,Crystal Palace,3420.0,90.0,38.0,0,12,47,13,1.24,0.34,10,11,11.1,1629,2140,76.1,2,3.0,59,181,26,8,93,67,80,72,75,2,10,0,60,0,0,451,166,227,1,41
James Milner,MF,Liverpool,1789.0,58.0,19.9,12,5,21,4,1.06,0.2,3,3,3.9,1300,1614,80.5,4,4.9,45,143,41,7,44,26,50,16,19,1,6,1,28,0,0,193,101,85,0,8
Yerry Mina,DF,Everton,892.0,69.0,9.9,3,1,4,1,0.4,0.1,0,0,0.4,413,488,84.6,0,0.2,3,28,1,0,17,12,16,7,61,0,3,0,13,1,0,100,36,84,0,7
Tyrone Mings,DF,Bournemouth,143.0,29.0,1.6,3,0,0,0,0.0,0.0,0,0,0.0,74,91,81.3,0,0.0,0,8,0,0,3,2,3,7,7,0,0,0,0,0,0,20,5,17,0,1
Henrikh Mkhitaryan,FW,Arsenal,1641.0,66.0,18.2,6,6,50,14,2.74,0.77,0,0,4.6,661,872,75.8,4,4.3,27,67,32,2,28,18,32,17,11,0,1,0,27,3,0,166,98,60,0,8
Nacho Monreal,DF,Arsenal,1861.0,85.0,20.7,1,1,9,4,0.44,0.19,0,0,1.3,1121,1296,86.5,3,1.3,11,68,14,3,36,27,37,28,81,0,5,0,17,1,0,165,77,146,0,18
Martín Montoya,DF,Brighton,2167.0,87.0,24.1,1,0,8,1,0.33,0.04,0,0,0.2,895,1145,78.2,1,1.1,19,67,27,12,56,26,46,49,62,1,4,0,29,0,0,214,45,157,0,-4
Álvaro Morata,FW,Chelsea,941.0,59.0,10.5,5,5,35,16,3.35,1.53,0,0,6.3,171,219,78.1,0,0.2,6,13,1,0,9,6,6,0,7,0,3,0,19,20,0,24,46,13,0,3
Alberto Moreno,DF,Liverpool,154.0,77.0,1.7,0,0,1,0,0.58,0.0,0,0,0.0,110,126,87.3,0,0.2,3,7,5,1,4,2,2,1,1,0,0,0,1,0,0,20,4,4,0,0
Wes Morgan,DF,Leicester City,1925.0,88.0,21.4,1,3,14,5,0.65,0.23,0,0,1.9,739,896,82.5,0,0.2,2,34,0,0,29,16,41,29,110,3,3,2,18,3,0,245,76,180,0,3
